yearday,mean,sd,n,n_years,p05,p10,p25,p50,p75,p90,p95,lo1,hi1,lo2,hi2
1,3.628,0.1274,4910,17,3.4155,3.466,3.5482,3.628,3.7116,3.7866,3.8302,3.5005,3.7554,3.3731,3.8828
2,3.6284,0.1256,4887,17,3.4151,3.4652,3.55,3.631,3.714,3.7837,3.8263,3.5029,3.754,3.3773,3.8795
3,3.6279,0.1237,4859,17,3.4132,3.4632,3.5501,3.6324,3.7138,3.7814,3.8202,3.5042,3.7516,3.3804,3.8754
4,3.6265,0.123,4835,17,3.4119,3.4624,3.5492,3.6316,3.7115,3.7815,3.8209,3.5035,3.7495,3.3805,3.8725
5,3.6249,0.1227,4807,17,3.4071,3.4607,3.5482,3.6301,3.7069,3.7758,3.8139,3.5022,3.7476,3.3795,3.8703
6,3.6234,0.1227,4763,17,3.4,3.4574,3.5454,3.6275,3.7047,3.7748,3.8116,3.5007,3.7461,3.3781,3.8687
7,3.6224,0.1225,4714,17,3.3979,3.4554,3.5468,3.6277,3.7047,3.7738,3.8128,3.4999,3.745,3.3773,3.8675
8,3.6219,0.123,4667,16,3.3956,3.4521,3.547,3.6288,3.7051,3.7726,3.8117,3.4989,3.7449,3.376,3.8679
9,3.6219,0.1235,4614,16,3.396,3.4547,3.5502,3.63,3.7057,3.7731,3.8118,3.4984,3.7454,3.375,3.8688
10,3.6224,0.1241,4542,16,3.393,3.4526,3.5488,3.631,3.7069,3.7718,3.8091,3.4983,3.7465,3.3742,3.8706
11,3.6231,0.1251,4482,15,3.3907,3.4498,3.5486,3.6308,3.7064,3.7727,3.813,3.498,3.7483,3.3729,3.8734
12,3.6236,0.1268,4434,15,3.3924,3.4503,3.549,3.6313,3.7101,3.7784,3.819,3.4968,3.7504,3.37,3.8772
13,3.6243,0.1286,4386,15,3.3919,3.4505,3.5475,3.6313,3.7122,3.7876,3.8254,3.4957,3.7528,3.3672,3.8814
14,3.6249,0.1304,4337,15,3.3882,3.4475,3.5467,3.6297,3.7129,3.7927,3.8344,3.4946,3.7553,3.3642,3.8856
15,3.625,0.1316,4290,14,3.3873,3.4446,3.547,3.6288,3.7122,3.794,3.8421,3.4934,3.7566,3.3618,3.8882
16,3.6245,0.1324,4266,14,3.3867,3.4428,3.5443,3.6273,3.7128,3.7986,3.8447,3.4921,3.7569,3.3597,3.8893
17,3.6235,0.1326,4242,14,3.3879,3.4461,3.5448,3.6258,3.7099,3.7964,3.8437,3.4908,3.7561,3.3582,3.8887
18,3.6223,0.1324,4224,14,3.388,3.4466,3.5434,3.6241,3.7069,3.7953,3.8472,3.4899,3.7546,3.3576,3.887
19,3.6211,0.1315,4200,14,3.3866,3.4424,3.5389,3.6205,3.7041,3.7921,3.8405,3.4897,3.7526,3.3582,3.884
20,3.6202,0.1303,4180,13,3.3907,3.4449,3.5377,3.6203,3.7033,3.7905,3.8382,3.4899,3.7506,3.3596,3.8809
21,3.62,0.129,4180,13,3.3936,3.4486,3.5391,3.6191,3.7011,3.786,3.8338,3.491,3.749,3.362,3.878
22,3.6206,0.1279,4181,13,3.3984,3.4527,3.5416,3.6201,3.698,3.784,3.8333,3.4926,3.7485,3.3647,3.8764
23,3.6218,0.1269,4181,13,3.4043,3.4596,3.5463,3.6205,3.6981,3.7883,3.8354,3.4949,3.7488,3.368,3.8757
24,3.6233,0.1261,4181,13,3.4073,3.4594,3.5469,3.6218,3.7009,3.7901,3.8391,3.4972,3.7494,3.3711,3.8755
25,3.6247,0.1254,4187,14,3.4137,3.4635,3.55,3.6243,3.7024,3.7917,3.8405,3.4992,3.7501,3.3738,3.8755
26,3.6255,0.1248,4205,14,3.4137,3.465,3.5506,3.626,3.7032,3.787,3.8401,3.5007,3.7503,3.3759,3.875
27,3.6264,0.1236,4225,15,3.4174,3.4676,3.5506,3.627,3.7016,3.7842,3.8391,3.5029,3.75,3.3793,3.8735
28,3.6267,0.1224,4226,15,3.418,3.4688,3.5507,3.6275,3.7024,3.7813,3.8328,3.5043,3.7492,3.3818,3.8716
29,3.627,0.1217,4227,15,3.4232,3.4722,3.551,3.6293,3.7047,3.7799,3.8302,3.5053,3.7487,3.3836,3.8704
30,3.6276,0.1215,4225,15,3.4225,3.4734,3.5501,3.6297,3.7058,3.7789,3.8243,3.5061,3.7491,3.3846,3.8706
31,3.6284,0.1216,4225,15,3.419,3.4725,3.5507,3.631,3.7075,3.7823,3.8289,3.5068,3.75,3.3852,3.8716
32,3.6295,0.1221,4225,15,3.4173,3.4723,3.5513,3.634,3.7113,3.7833,3.8281,3.5074,3.7515,3.3854,3.8736
33,3.6311,0.1227,4225,15,3.4141,3.4711,3.5526,3.6368,3.7138,3.7844,3.8261,3.5084,3.7538,3.3857,3.8765
34,3.6328,0.1232,4225,15,3.4134,3.4727,3.5559,3.6411,3.7161,3.7882,3.8305,3.5096,3.756,3.3863,3.8792
35,3.6341,0.1237,4224,15,3.4147,3.4765,3.5592,3.6423,3.7173,3.7904,3.8349,3.5103,3.7578,3.3866,3.8815
36,3.6349,0.1241,4225,15,3.416,3.4772,3.5596,3.6428,3.717,3.7917,3.8386,3.5108,3.759,3.3866,3.8832
