yearday,mean,sd,n,n_years,p05,p10,p25,p50,p75,p90,p95,lo1,hi1,lo2,hi2
1,9.5243,0.2012,2487,8,9.2075,9.2137,9.2678,9.6127,9.7038,9.7382,9.7489,9.3231,9.7254,9.122,9.9266
2,9.5269,0.2016,2463,8,9.2088,9.2153,9.27,9.6159,9.7065,9.7412,9.7504,9.3253,9.7285,9.1237,9.9301
3,9.5295,0.2021,2465,8,9.21,9.2174,9.2718,9.6212,9.7093,9.7426,9.752,9.3275,9.7316,9.1254,9.9337
4,9.5323,0.2025,2465,8,9.2113,9.2189,9.2747,9.6265,9.7123,9.7446,9.7551,9.3299,9.7348,9.1274,9.9373
5,9.5354,0.2028,2465,8,9.2129,9.2222,9.2759,9.6305,9.7154,9.7472,9.7579,9.3326,9.7381,9.1299,9.9409
6,9.5387,0.203,2465,8,9.2145,9.2251,9.2772,9.6341,9.7177,9.7494,9.7608,9.3357,9.7416,9.1327,9.9446
7,9.5419,0.2033,2465,8,9.2163,9.2268,9.279,9.6362,9.7227,9.7508,9.7638,9.3387,9.7452,9.1354,9.9484
8,9.5452,0.2036,2465,7,9.2178,9.2289,9.2824,9.6378,9.7284,9.7533,9.7669,9.3416,9.7488,9.138,9.9523
9,9.5485,0.204,2465,7,9.2194,9.231,9.2857,9.6406,9.7319,9.7569,9.769,9.3445,9.7525,9.1406,9.9564
10,9.5519,0.2045,2465,7,9.2214,9.2332,9.2876,9.6432,9.7377,9.76,9.7718,9.3474,9.7563,9.1429,9.9608
11,9.5552,0.2051,2465,7,9.2234,9.2356,9.2924,9.6458,9.741,9.7643,9.7738,9.3502,9.7603,9.1451,9.9654
12,9.5585,0.2058,2465,7,9.2245,9.2368,9.2968,9.6488,9.7441,9.7677,9.7771,9.3527,9.7643,9.1469,9.9702
13,9.5618,0.2066,2465,7,9.2258,9.2375,9.3005,9.6518,9.7477,9.771,9.7797,9.3551,9.7684,9.1485,9.9751
14,9.5651,0.2074,2470,7,9.2265,9.2378,9.3041,9.6564,9.7501,9.773,9.7828,9.3578,9.7725,9.1504,9.9799
15,9.5687,0.2079,2468,7,9.2272,9.2394,9.3102,9.6594,9.7515,9.7746,9.7872,9.3607,9.7766,9.1528,9.9845
16,9.5722,0.2084,2488,7,9.2278,9.2405,9.3158,9.6636,9.7528,9.7771,9.7912,9.3638,9.7806,9.1554,9.9891
17,9.576,0.2087,2510,7,9.229,9.242,9.3205,9.6676,9.754,9.7791,9.7946,9.3672,9.7847,9.1585,9.9935
18,9.5798,0.209,2515,7,9.23,9.243,9.3258,9.6722,9.7571,9.782,9.7989,9.3708,9.7887,9.1619,9.9977
19,9.5834,0.2092,2514,7,9.2307,9.2434,9.3322,9.6757,9.7601,9.785,9.8032,9.3742,9.7926,9.165,10.0018
20,9.5869,0.2096,2513,7,9.2321,9.2441,9.3406,9.6812,9.7644,9.7892,9.8086,9.3773,9.7965,9.1677,10.0061
21,9.5903,0.2099,2513,7,9.2336,9.2447,9.3462,9.6842,9.7671,9.793,9.8139,9.3804,9.8002,9.1704,10.0102
22,9.5935,0.2102,2513,7,9.235,9.2448,9.3522,9.6867,9.7699,9.7969,9.8184,9.3833,9.8037,9.1731,10.0138
23,9.5959,0.2104,2513,7,9.2359,9.2456,9.3542,9.6891,9.7724,9.8013,9.8223,9.3856,9.8063,9.1752,10.0166
24,9.5978,0.2104,2505,7,9.2377,9.2458,9.3564,9.6914,9.774,9.8041,9.8247,9.3874,9.8082,9.177,10.0186
25,9.5992,0.2102,2464,7,9.2395,9.2465,9.3596,9.6919,9.7747,9.8053,9.8263,9.389,9.8094,9.1787,10.0196
26,9.6001,0.2099,2438,7,9.2405,9.2471,9.363,9.6929,9.7752,9.8072,9.8274,9.3901,9.81,9.1802,10.0199
27,9.6006,0.2095,2414,7,9.2409,9.2481,9.3676,9.6943,9.775,9.8077,9.8274,9.3911,9.8101,9.1817,10.0196
28,9.6015,0.209,2390,7,9.242,9.2487,9.3725,9.6959,9.7745,9.8086,9.8275,9.3926,9.8105,9.1836,10.0194
29,9.6025,0.2084,2367,7,9.2429,9.2489,9.3793,9.6968,9.7744,9.8095,9.8277,9.3941,9.8108,9.1858,10.0192
30,9.6034,0.2078,2345,7,9.2435,9.2489,9.3837,9.6983,9.7737,9.8109,9.8287,9.3957,9.8112,9.1879,10.019
31,9.6046,0.2072,2321,7,9.2446,9.2489,9.3879,9.6988,9.7715,9.8114,9.8289,9.3973,9.8118,9.1901,10.019
32,9.6062,0.207,2299,7,9.2454,9.2489,9.3994,9.7004,9.7685,9.8119,9.8289,9.3992,9.8132,9.1922,10.0203
33,9.6084,0.2071,2282,7,9.2458,9.2488,9.4074,9.7023,9.7653,9.8125,9.8289,9.4012,9.8155,9.1941,10.0226
34,9.611,0.2076,2283,7,9.2459,9.2487,9.4147,9.7065,9.7674,9.8128,9.8355,9.4035,9.8186,9.1959,10.0261
35,9.6141,0.2082,2284,7,9.2458,9.2486,9.4258,9.7126,9.7678,9.8133,9.84,9.4058,9.8223,9.1976,10.0306
36,9.6174,0.2093,2284,7,9.2456,9.2485,9.4344,9.7174,9.7682,9.8134,9.8463,9.4082,9.8267,9.1989,10.036
37,9.6208,0.2103,2282,7,9.2456,9.2485,9.4394,9.7229,9.7691,9.8135,9.8543,9.4105,9.8312,9.2001,10.0415
38,9.6247,0.2114,2282,7,9.2455,9.2483,9.4431,9.7267,9.7692,9.8137,9.9,9.4133,9.8361,9.2019,10.0476
39,9.629,0.2125,2290,7,9.2453,9.2482,9.4461,9.7298,9.7712,9.8144,9.9254,9.4165,9.8415,9.204,10.0541
40,9.6336,0.2138,2331,7,9.245,9.2482,9.4507,9.7321,9.7746,9.8193,9.9407,9.4199,9.8474,9.2061,10.0611
41,9.6385,0.215,2357,7,9.2446,9.2481,9.4541,9.7328,9.7791,9.8332,9.9524,9.4235,9.8535,9.2085,10.0685
42,9.6436,0.2163,2381,7,9.2442,9.2474,9.4593,9.7322,9.7825,9.8631,9.961,9.4272,9.8599,9.2109,10.0762
43,9.6484,0.2177,2405,7,9.2438,9.2471,9.4638,9.732,9.7863,9.8972,9.9676,9.4307,9.8661,9.2131,10.0838
44,9.6538,0.2186,2429,7,9.2433,9.2464,9.469,9.731,9.7905,9.915,9.9761,9.4352,9.8725,9.2165,10.0911
45,9.6591,0.2198,2447,7,9.2431,9.246,9.4758,9.73,9.7984,9.9309,9.9819,9.4393,9.8788,9.2195,10.0986
46,9.6641,0.2211,2451,7,9.2431,9.246,9.4867,9.7294,9.8061,9.9473,9.9852,9.443,9.8852,9.222,10.1062
47,9.6685,0.2229,2471,7,9.2424,9.2454,9.4905,9.7286,9.811,9.9561,9.9912,9.4456,9.8914,9.2227,10.1143
48,9.6717,0.2259,2488,7,9.2412,9.2449,9.4968,9.7278,9.812,9.9617,9.9958,9.4458,9.8975,9.22,10.1234
49,9.674,0.2294,2488,7,9.2386,9.2444,9.5006,9.7263,9.8136,9.9724,10.0031,9.4445,9.9034,9.2151,10.1328
50,9.6772,0.2327,2488,7,9.2345,9.244,9.5035,9.7239,9.8191,9.9797,10.0095,9.4446,9.9099,9.2119,10.1426
51,9.6805,0.2357,2474,7,9.2323,9.2439,9.5106,9.7224,9.8317,9.9842,10.0219,9.4448,9.9162,9.2092,10.1518
52,9.6842,0.2382,2500,7,9.2325,9.2446,9.5229,9.7218,9.8499,9.994,10.0413,9.446,9.9224,9.2078,10.1605
53,9.6886,0.2397,2476,7,9.2323,9.2487,9.5207,9.7211,9.8576,10.0007,10.0504,9.4489,9.9282,9.2092,10.1679
54,9.6929,0.241,2452,7,9.2322,9.3372,9.5165,9.7202,9.865,10.0089,10.059,9.4519,9.9339,9.2108,10.175
55,9.6961,0.2427,2428,7,9.232,9.3634,9.5125,9.7197,9.8727,10.0224,10.0657,9.4534,9.9388,9.2107,10.1814
56,9.6993,0.2445,2404,7,9.2319,9.3639,9.5112,9.7197,9.8818,10.0333,10.0709,9.4548,9.9438,9.2103,10.1882
57,9.7026,0.2463,2380,7,9.2318,9.3654,9.5103,9.7192,9.8891,10.045,10.0761,9.4564,9.9489,9.2101,10.1952
58,9.7059,0.2482,2356,7,9.2316,9.3672,9.507,9.7192,9.8983,10.0537,10.0798,9.4577,9.9541,9.2095,10.2022
59,9.7084,0.2508,2332,7,9.2435,9.3715,9.5041,9.7201,9.9062,10.0604,10.0841,9.4576,9.9591,9.2069,10.2099
60,9.7095,0.255,2313,7,9.3485,9.3718,9.5017,9.7176,9.9149,10.0684,10.0897,9.4545,9.9645,9.1995,10.2195
61,9.709,0.2609,2305,7,9.3496,9.3692,9.4959,9.7141,9.9262,10.0723,10.0931,9.4481,9.9699,9.1873,10.2307
62,9.707,0.268,2306,7,9.3499,9.3661,9.4822,9.7081,9.9339,10.0774,10.0979,9.4391,9.975,9.1711,10.2429
63,9.7041,0.2756,2306,7,9.3499,9.3634,9.4678,9.6998,9.9401,10.0812,10.1023,9.4284,9.9797,9.1528,10.2553
64,9.6999,0.2841,2306,7,9.3499,9.3621,9.4602,9.6928,9.9456,10.085,10.1092,9.4158,9.984,9.1317,10.2681
65,9.694,0.2927,2306,7,9.3499,9.3611,9.4555,9.6877,9.949,10.09,10.1174,9.4013,9.9867,9.1086,10.2793
66,9.6877,0.301,2320,7,9.1804,9.3591,9.4521,9.6804,9.9508,10.0935,10.1241,9.3867,9.9886,9.0857,10.2896
67,9.6805,0.3094,2296,7,9.0773,9.3573,9.4456,9.6679,9.9515,10.0988,10.1365,9.3711,9.99,9.0617,10.2994
68,9.6722,0.3186,2319,7,9.0342,9.3567,9.4365,9.664,9.9535,10.1033,10.1456,9.3537,9.9908,9.0351,10.3094
69,9.6636,0.3275,2343,7,8.9976,9.3554,9.425,9.6595,9.9555,10.1094,10.1528,9.3361,9.991,9.0086,10.3185
70,9.6557,0.3358,2367,7,8.9854,9.3493,9.4063,9.6458,9.9569,10.117,10.1577,9.32,9.9915,8.9842,10.3273
71,9.6475,0.3438,2389,7,8.9776,9.3014,9.3949,9.6101,9.9578,10.1221,10.1638,9.3037,9.9914,8.9599,10.3352
72,9.6392,0.3515,2413,7,8.9719,9.1318,9.3858,9.5726,9.9583,10.1325,10.1673,9.2876,9.9907,8.9361,10.3422
73,9.6307,0.3588,2437,7,8.97,9.0715,9.3769,9.5557,9.9592,10.1418,10.1697,9.2719,9.9895,8.9131,10.3484
