yearday,mean,sd,n,n_years,p05,p10,p25,p50,p75,p90,p95,lo1,hi1,lo2,hi2
1,9.889,0.6268,3390,11,8.8811,8.9226,9.2794,10.0575,10.4065,10.6096,10.6931,9.2622,10.5158,8.6354,11.1426
2,9.8853,0.6303,3414,11,8.8762,8.9144,9.2707,10.0438,10.3993,10.6166,10.7112,9.2549,10.5156,8.6246,11.146
3,9.8815,0.6309,3440,11,8.8729,8.9094,9.2693,10.0326,10.3918,10.6333,10.7522,9.2506,10.5124,8.6198,11.1433
4,9.8789,0.6298,3464,11,8.8737,8.9128,9.2718,10.0127,10.3961,10.6427,10.7424,9.2492,10.5087,8.6194,11.1385
5,9.8769,0.6267,3485,11,8.8776,8.9239,9.2809,9.9926,10.4114,10.6411,10.7263,9.2501,10.5036,8.6234,11.1304
6,9.8752,0.6221,3513,11,8.8812,8.9519,9.2906,9.979,10.4173,10.6488,10.7241,9.253,10.4973,8.6309,11.1194
7,9.8714,0.6179,3537,11,8.8781,8.9764,9.3056,9.9687,10.4302,10.6547,10.7231,9.2535,10.4892,8.6356,11.1071
8,9.8665,0.6144,3561,10,8.878,9.0273,9.3169,9.9601,10.4434,10.6552,10.7211,9.2521,10.4808,8.6378,11.0952
9,9.8609,0.6099,3562,10,8.8736,8.9959,9.3195,9.9399,10.4445,10.6465,10.714,9.2509,10.4708,8.641,11.0808
10,9.8554,0.6053,3562,10,8.8658,8.9959,9.3267,9.9038,10.4388,10.6356,10.7073,9.2501,10.4606,8.6449,11.0659
11,9.8499,0.6006,3549,10,8.8624,9.0072,9.3401,9.8987,10.4327,10.6166,10.7004,9.2494,10.4505,8.6488,11.0511
12,9.8459,0.5951,3525,10,8.8605,9.0197,9.3401,9.901,10.4184,10.5901,10.6983,9.2508,10.441,8.6557,11.0361
13,9.8435,0.5877,3501,10,8.8635,9.038,9.337,9.9162,10.4043,10.5781,10.6963,9.2557,10.4312,8.668,11.019
14,9.8429,0.5791,3477,10,8.864,9.0627,9.3311,9.9392,10.3996,10.5699,10.6935,9.2638,10.422,8.6847,11.0011
15,9.8419,0.5685,3464,10,8.877,9.0816,9.371,9.8886,10.3894,10.5566,10.6731,9.2734,10.4104,8.7048,10.9789
16,9.841,0.556,3463,10,8.9127,9.1193,9.3974,9.8719,10.3832,10.5453,10.6546,9.2849,10.397,8.7289,10.953
17,9.8403,0.5436,3439,10,8.9366,9.1347,9.4071,9.8219,10.3733,10.5331,10.6253,9.2967,10.3839,8.7531,10.9275
18,9.84,0.5325,3415,10,8.9571,9.1708,9.4147,9.772,10.3686,10.5286,10.5893,9.3075,10.3724,8.775,10.9049
19,9.8399,0.5224,3389,10,8.9567,9.1856,9.4102,9.7528,10.3598,10.5241,10.5777,9.3175,10.3624,8.7951,10.8848
20,9.8416,0.5133,3362,10,8.9882,9.2061,9.4183,9.7484,10.3519,10.5253,10.571,9.3283,10.3549,8.8151,10.8681
21,9.8448,0.5046,3333,10,9.0423,9.2314,9.4298,9.758,10.3399,10.5165,10.5638,9.3403,10.3494,8.8357,10.854
22,9.8489,0.4943,3303,10,9.0698,9.2496,9.4337,9.7691,10.3343,10.495,10.5571,9.3546,10.3431,8.8603,10.8374
23,9.8511,0.4837,3273,10,9.0757,9.2719,9.4491,9.7919,10.3283,10.4727,10.5464,9.3674,10.3348,8.8837,10.8185
24,9.8503,0.474,3243,10,9.1268,9.2798,9.4601,9.8042,10.3103,10.4583,10.5341,9.3764,10.3243,8.9024,10.7983
