yearday,mean,sd,n,n_years,p05,p10,p25,p50,p75,p90,p95,lo1,hi1,lo2,hi2
1,3.9018,0.1049,3353,13,3.7402,3.7737,3.8317,3.8953,3.9709,4.0425,4.0815,3.7969,4.0067,3.6919,4.1116
2,3.9045,0.1064,3354,13,3.7418,3.7757,3.8337,3.8988,3.9737,4.0499,4.0881,3.7981,4.0109,3.6917,4.1172
3,3.906,0.1081,3350,13,3.7403,3.7742,3.8331,3.8994,3.9761,4.0532,4.0931,3.7979,4.0141,3.6898,4.1222
4,3.906,0.1099,3350,13,3.7383,3.7725,3.8315,3.8993,3.9803,4.0596,4.1009,3.7961,4.0159,3.6863,4.1257
5,3.9053,0.1111,3347,13,3.7376,3.7682,3.8275,3.8947,3.9782,4.0591,4.1024,3.7942,4.0164,3.6831,4.1275
6,3.904,0.1119,3350,13,3.7379,3.7666,3.8244,3.8906,3.9755,4.0567,4.1007,3.7921,4.0159,3.6802,4.1279
7,3.9024,0.1119,3350,13,3.7403,3.7669,3.8244,3.8899,3.9764,4.0559,4.1008,3.7906,4.0143,3.6787,4.1261
8,3.9012,0.1112,3350,10,3.7404,3.7678,3.8217,3.8875,3.9764,4.0552,4.1009,3.7899,4.0124,3.6787,4.1237
9,3.8999,0.1105,3350,10,3.7433,3.7687,3.8207,3.8861,3.9771,4.0528,4.1007,3.7894,4.0104,3.6788,4.121
10,3.8986,0.1101,3350,10,3.7478,3.7702,3.8191,3.8836,3.9751,4.05,4.0976,3.7885,4.0088,3.6784,4.1189
11,3.8975,0.1099,3348,10,3.7431,3.7673,3.8159,3.8807,3.9709,4.0426,4.0887,3.7876,4.0074,3.6777,4.1173
12,3.8965,0.1103,3348,10,3.7414,3.7667,3.8146,3.8804,3.973,4.0461,4.091,3.7863,4.0068,3.676,4.117
13,3.8955,0.1107,3348,10,3.7422,3.7663,3.8134,3.8788,3.9714,4.0505,4.0981,3.7848,4.0062,3.6741,4.1169
14,3.8949,0.1112,3348,10,3.7403,3.7642,3.8124,3.8779,3.9711,4.0557,4.1027,3.7837,4.0061,3.6725,4.1173
15,3.8941,0.1109,3348,10,3.7399,3.7644,3.812,3.8764,3.9679,4.0528,4.1013,3.7833,4.005,3.6724,4.1158
16,3.8936,0.1098,3348,10,3.7403,3.7642,3.811,3.8744,3.9669,4.047,4.0963,3.7838,4.0033,3.674,4.1131
17,3.8927,0.1077,3348,10,3.7412,3.7651,3.8114,3.8758,3.9655,4.0414,4.088,3.785,4.0004,3.6773,4.1081
18,3.8921,0.1054,3354,10,3.7438,3.7676,3.8135,3.8781,3.9633,4.0378,4.0828,3.7867,3.9974,3.6813,4.1028
19,3.8922,0.1033,3354,10,3.7474,3.7686,3.8152,3.8783,3.9569,4.0283,4.0716,3.7889,3.9955,3.6857,4.0988
20,3.8925,0.1016,3357,10,3.7455,3.7687,3.818,3.8799,3.9571,4.0255,4.0664,3.7909,3.994,3.6893,4.0956
21,3.8929,0.1002,3358,10,3.7457,3.7693,3.8209,3.8833,3.9605,4.0271,4.068,3.7927,3.9932,3.6925,4.0934
22,3.8943,0.0994,3358,10,3.7423,3.7694,3.8211,3.8838,3.9595,4.0253,4.0664,3.7948,3.9937,3.6954,4.0932
23,3.8964,0.0992,3358,10,3.7463,3.7717,3.8245,3.8879,3.9595,4.0251,4.0646,3.7972,3.9956,3.6981,4.0948
24,3.8989,0.0988,3358,10,3.7475,3.7745,3.8284,3.8927,3.9607,4.0274,4.0673,3.8002,3.9977,3.7014,4.0965
25,3.9021,0.0986,3358,10,3.748,3.777,3.8328,3.8972,3.9643,4.0311,4.0712,3.8035,4.0007,3.7049,4.0993
26,3.9053,0.0986,3360,10,3.7521,3.7825,3.839,3.9022,3.9684,4.0363,4.0766,3.8067,4.0039,3.7081,4.1025
27,3.9083,0.0985,3347,10,3.7536,3.7851,3.8407,3.9064,3.9719,4.038,4.0791,3.8098,4.0067,3.7114,4.1052
28,3.9109,0.0987,3323,10,3.7544,3.7863,3.8427,3.9089,3.9751,4.0378,4.0746,3.8122,4.0096,3.7135,4.1083
29,3.9125,0.0994,3299,10,3.7567,3.7893,3.8463,3.9119,3.9781,4.0376,4.0709,3.813,4.0119,3.7136,4.1113
30,3.9129,0.1005,3275,10,3.7534,3.7875,3.8482,3.9144,3.9825,4.0409,4.0769,3.8123,4.0134,3.7118,4.1139
31,3.9127,0.1021,3251,10,3.7457,3.7835,3.8474,3.9155,3.984,4.0411,4.0769,3.8106,4.0149,3.7085,4.117
