yearday,mean,sd,n,n_years,p05,p10,p25,p50,p75,p90,p95,lo1,hi1,lo2,hi2
1,9.0336,0.9652,9746,35,7.5,7.9,8.4,8.9,9.5,10.4,10.8,8.0684,9.9989,7.1032,10.9641
2,9.0163,0.9627,9677,35,7.5,7.8,8.4,8.9,9.5,10.4,10.8,8.0536,9.979,7.091,10.9417
3,9.0013,0.9594,9625,35,7.5,7.8,8.4,8.9,9.5,10.4,10.8,8.0419,9.9607,7.0825,10.9202
4,8.9872,0.9581,9642,35,7.6,7.8,8.3,8.9,9.5,10.3,10.8,8.0291,9.9453,7.071,10.9034
5,8.9762,0.956,9643,35,7.6,7.8,8.3,8.9,9.5,10.2,10.8,8.0203,9.9322,7.0643,10.8882
6,8.9651,0.9543,9641,35,7.6,7.8,8.3,8.8,9.5,10.2,10.7,8.0107,9.9194,7.0564,10.8737
7,8.9549,0.9556,9670,35,7.6,7.8,8.3,8.9,9.5,10.1,10.7,7.9994,9.9105,7.0438,10.866
8,8.9437,0.9581,9709,32,7.6,7.8,8.3,8.9,9.5,10.1,10.7,7.9856,9.9018,7.0274,10.86
9,8.9328,0.9601,9740,32,7.6,7.8,8.2,8.8,9.5,10.1,10.7,7.9728,9.8929,7.0127,10.853
10,8.9215,0.9634,9734,32,7.5,7.8,8.2,8.8,9.5,10.1,10.7,7.958,9.8849,6.9946,10.8483
11,8.9097,0.9654,9764,32,7.5,7.8,8.2,8.8,9.5,10.1,10.7,7.9443,9.8751,6.9789,10.8405
12,8.8987,0.9654,9808,32,7.5,7.8,8.2,8.8,9.5,10.1,10.7,7.9333,9.864,6.9679,10.8294
13,8.8906,0.9641,9776,32,7.5,7.7,8.1,8.8,9.5,10.1,10.6,7.9265,9.8547,6.9624,10.8187
14,8.8822,0.9648,9770,32,7.5,7.7,8.1,8.8,9.5,10.1,10.6,7.9175,9.847,6.9527,10.8118
15,8.8741,0.9658,9804,32,7.6,7.7,8.1,8.8,9.5,10.1,10.5,7.9083,9.8399,6.9426,10.8056
16,8.8662,0.9711,9865,32,7.5,7.7,8.1,8.8,9.5,10.1,10.5,7.8951,9.8373,6.924,10.8084
17,8.8581,0.9819,9928,32,7.5,7.7,8.1,8.8,9.5,10.1,10.5,7.8762,9.84,6.8943,10.8219
18,8.8504,0.998,10024,32,7.5,7.7,8.1,8.8,9.5,10.1,10.6,7.8524,9.8484,6.8543,10.8464
19,8.8441,1.0146,10076,32,7.4,7.7,8.1,8.8,9.5,10.1,10.6,7.8295,9.8587,6.8149,10.8733
20,8.8396,1.0323,10084,32,7.4,7.7,8.1,8.8,9.5,10.1,10.7,7.8072,9.8719,6.7749,10.9042
21,8.8396,1.0499,10104,32,7.3,7.7,8.1,8.8,9.5,10.1,10.7,7.7896,9.8895,6.7397,10.9395
