time,temperature,yearday,clim_mean,clim_sd,anomaly,z,band,label
2026-08-10 19:30:00,3.5186,222,3.6703,0.1362,-0.1517,-1.1134,1,unusually cool (outside 1 sigma)
2026-08-10 20:30:00,3.5277,222,3.6703,0.1362,-0.1426,-1.0473,1,unusually cool (outside 1 sigma)
2026-08-10 21:30:00,3.606,222,3.6703,0.1362,-0.0643,-0.4718,0,normal
2026-08-10 22:30:00,3.6386,222,3.6703,0.1362,-0.0317,-0.2324,0,normal
2026-08-10 23:30:00,3.6431,222,3.6703,0.1362,-0.0272,-0.1994,0,normal
2026-08-11 00:30:00,3.6948,223,3.6689,0.1374,0.0259,0.1887,0,normal
2026-08-11 01:30:00,3.7361,223,3.6689,0.1374,0.0672,0.4892,0,normal
2026-08-11 02:30:00,3.755,223,3.6689,0.1374,0.0861,0.6264,0,normal
2026-08-11 03:30:00,3.7746,223,3.6689,0.1374,0.1057,0.7693,0,normal
2026-08-11 04:30:00,3.7919,223,3.6689,0.1374,0.123,0.8955,0,normal
2026-08-11 05:30:00,3.7743,223,3.6689,0.1374,0.1054,0.7672,0,normal
2026-08-11 06:30:00,3.7862,223,3.6689,0.1374,0.1173,0.8534,0,normal
2026-08-11 07:30:00,3.8156,223,3.6689,0.1374,0.1467,1.0676,1,unusually warm (outside 1 sigma)
2026-08-11 08:30:00,3.8297,223,3.6689,0.1374,0.1608,1.1702,1,unusually warm (outside 1 sigma)
2026-08-11 09:30:00,3.8412,223,3.6689,0.1374,0.1723,1.2541,1,unusually warm (outside 1 sigma)
2026-08-11 10:30:00,3.847,223,3.6689,0.1374,0.1781,1.2959,1,unusually warm (outside 1 sigma)
2026-08-11 11:30:00,3.8353,223,3.6689,0.1374,0.1664,1.2107,1,unusually warm (outside 1 sigma)
2026-08-11 12:30:00,3.7708,223,3.6689,0.1374,0.1019,0.7416,0,normal
2026-08-11 13:30:00,3.7083,223,3.6689,0.1374,0.0394,0.2869,0,normal
2026-08-11 14:30:00,3.5851,223,3.6689,0.1374,-0.0838,-0.6102,0,normal
2026-08-11 15:30:00,3.6144,223,3.6689,0.1374,-0.0545,-0.3968,0,normal
2026-08-11 16:30:00,3.5689,223,3.6689,0.1374,-0.1,-0.7278,0,normal
2026-08-11 17:30:00,3.5557,223,3.6689,0.1374,-0.1132,-0.8235,0,normal
2026-08-11 18:30:00,3.5139,223,3.6689,0.1374,-0.155,-1.1284,1,unusually cool (outside 1 sigma)
2026-08-11 19:30:00,3.5128,223,3.6689,0.1374,-0.1561,-1.1363,1,unusually cool (outside 1 sigma)
2026-08-11 20:30:00,3.5245,223,3.6689,0.1374,-0.1444,-1.0508,1,unusually cool (outside 1 sigma)
2026-08-11 21:30:00,3.5437,223,3.6689,0.1374,-0.1252,-0.9113,0,normal
2026-08-11 22:30:00,3.5978,223,3.6689,0.1374,-0.0711,-0.5173,0,normal
2026-08-11 23:30:00,3.6272,223,3.6689,0.1374,-0.0417,-0.3033,0,normal
2026-08-12 00:30:00,3.6473,224,3.6677,0.1391,-0.0204,-0.1465,0,normal
2026-08-12 01:30:00,3.6547,224,3.6677,0.1391,-0.013,-0.0935,0,normal
2026-08-12 02:30:00,3.6784,224,3.6677,0.1391,0.0107,0.0772,0,normal
2026-08-12 03:30:00,3.7113,224,3.6677,0.1391,0.0436,0.3135,0,normal
2026-08-12 04:30:00,3.7648,224,3.6677,0.1391,0.0971,0.698,0,normal
2026-08-12 05:30:00,3.7983,224,3.6677,0.1391,0.1306,0.9391,0,normal
2026-08-12 06:30:00,3.7545,224,3.6677,0.1391,0.0868,0.6242,0,normal
2026-08-12 07:30:00,3.7866,224,3.6677,0.1391,0.1189,0.8549,0,normal
2026-08-12 08:30:00,3.8065,224,3.6677,0.1391,0.1388,0.9976,0,normal
2026-08-12 09:30:00,3.8154,224,3.6677,0.1391,0.1477,1.0618,1,unusually warm (outside 1 sigma)
2026-08-12 10:30:00,3.8227,224,3.6677,0.1391,0.155,1.1146,1,unusually warm (outside 1 sigma)
2026-08-12 11:30:00,3.8264,224,3.6677,0.1391,0.1587,1.141,1,unusually warm (outside 1 sigma)
2026-08-12 12:30:00,3.837,224,3.6677,0.1391,0.1693,1.2168,1,unusually warm (outside 1 sigma)
