time,temperature,yearday,clim_mean,clim_sd,anomaly,z,band,label
2026-08-10 19:30:00,9.1272,222,8.9213,0.2203,0.2059,0.9345,0,normal
2026-08-10 20:30:00,9.1269,222,8.9213,0.2203,0.2056,0.9335,0,normal
2026-08-10 21:30:00,9.1286,222,8.9213,0.2203,0.2073,0.9409,0,normal
2026-08-10 22:30:00,9.1307,222,8.9213,0.2203,0.2094,0.9505,0,normal
2026-08-10 23:30:00,9.1346,222,8.9213,0.2203,0.2133,0.9682,0,normal
2026-08-11 00:30:00,9.1427,223,8.9236,0.2198,0.2191,0.9968,0,normal
2026-08-11 01:30:00,9.1355,223,8.9236,0.2198,0.2119,0.9641,0,normal
2026-08-11 02:30:00,9.1322,223,8.9236,0.2198,0.2086,0.9491,0,normal
2026-08-11 03:30:00,9.1304,223,8.9236,0.2198,0.2068,0.9406,0,normal
2026-08-11 04:30:00,9.1309,223,8.9236,0.2198,0.2073,0.9432,0,normal
2026-08-11 05:30:00,9.1334,223,8.9236,0.2198,0.2098,0.9545,0,normal
2026-08-11 06:30:00,9.1359,223,8.9236,0.2198,0.2123,0.9659,0,normal
2026-08-11 07:30:00,9.1421,223,8.9236,0.2198,0.2185,0.9941,0,normal
2026-08-11 08:30:00,9.1348,223,8.9236,0.2198,0.2112,0.9607,0,normal
2026-08-11 09:30:00,9.1321,223,8.9236,0.2198,0.2085,0.9487,0,normal
2026-08-11 10:30:00,9.1383,223,8.9236,0.2198,0.2147,0.9768,0,normal
2026-08-11 11:30:00,9.1402,223,8.9236,0.2198,0.2166,0.9853,0,normal
2026-08-11 12:30:00,9.1357,223,8.9236,0.2198,0.2121,0.9648,0,normal
2026-08-11 13:30:00,9.1456,223,8.9236,0.2198,0.222,1.01,1,unusually warm (outside 1 sigma)
2026-08-11 14:30:00,9.1361,223,8.9236,0.2198,0.2125,0.9667,0,normal
2026-08-11 15:30:00,9.1268,223,8.9236,0.2198,0.2032,0.9246,0,normal
2026-08-11 16:30:00,9.1268,223,8.9236,0.2198,0.2032,0.9243,0,normal
2026-08-11 17:30:00,9.1297,223,8.9236,0.2198,0.2061,0.9375,0,normal
2026-08-11 18:30:00,9.1322,223,8.9236,0.2198,0.2086,0.9488,0,normal
2026-08-11 19:30:00,9.1359,223,8.9236,0.2198,0.2123,0.9661,0,normal
2026-08-11 20:30:00,9.1356,223,8.9236,0.2198,0.212,0.9644,0,normal
2026-08-11 21:30:00,9.1339,223,8.9236,0.2198,0.2103,0.9569,0,normal
2026-08-11 22:30:00,9.1319,223,8.9236,0.2198,0.2083,0.9476,0,normal
2026-08-11 23:30:00,9.1314,223,8.9236,0.2198,0.2078,0.9455,0,normal
2026-08-12 00:30:00,9.1335,224,8.9258,0.2192,0.2077,0.9477,0,normal
2026-08-12 01:30:00,9.1413,224,8.9258,0.2192,0.2155,0.9833,0,normal
2026-08-12 02:30:00,9.1433,224,8.9258,0.2192,0.2175,0.992,0,normal
2026-08-12 03:30:00,9.1436,224,8.9258,0.2192,0.2178,0.9934,0,normal
2026-08-12 04:30:00,9.1349,224,8.9258,0.2192,0.2091,0.9539,0,normal
2026-08-12 05:30:00,9.1336,224,8.9258,0.2192,0.2078,0.9479,0,normal
2026-08-12 06:30:00,9.1346,224,8.9258,0.2192,0.2088,0.9527,0,normal
2026-08-12 07:30:00,9.1396,224,8.9258,0.2192,0.2138,0.9752,0,normal
2026-08-12 08:30:00,9.1502,224,8.9258,0.2192,0.2244,1.0235,1,unusually warm (outside 1 sigma)
2026-08-12 09:30:00,9.1392,224,8.9258,0.2192,0.2134,0.9734,0,normal
2026-08-12 10:30:00,9.1362,224,8.9258,0.2192,0.2104,0.96,0,normal
2026-08-12 11:30:00,9.1362,224,8.9258,0.2192,0.2104,0.9598,0,normal
2026-08-12 12:30:00,9.1518,224,8.9258,0.2192,0.226,1.0311,1,unusually warm (outside 1 sigma)
2026-08-12 13:30:00,9.1501,224,8.9258,0.2192,0.2243,1.0235,1,unusually warm (outside 1 sigma)
2026-08-12 14:30:00,9.1395,224,8.9258,0.2192,0.2137,0.9747,0,normal
2026-08-12 15:30:00,9.1304,224,8.9258,0.2192,0.2046,0.9334,0,normal
2026-08-12 16:30:00,9.1267,224,8.9258,0.2192,0.2009,0.9167,0,normal
2026-08-12 17:30:00,9.1268,224,8.9258,0.2192,0.201,0.9171,0,normal
2026-08-12 18:30:00,9.1286,224,8.9258,0.2192,0.2028,0.9252,0,normal
2026-08-12 19:30:00,9.1297,224,8.9258,0.2192,0.2039,0.9303,0,normal
2026-08-12 20:30:00,9.1382,224,8.9258,0.2192,0.2124,0.9689,0,normal
2026-08-12 21:30:00,9.1297,224,8.9258,0.2192,0.2039,0.9301,0,normal
2026-08-12 22:30:00,9.1359,224,8.9258,0.2192,0.2101,0.9583,0,normal
2026-08-12 23:30:00,9.1333,224,8.9258,0.2192,0.2075,0.9466,0,normal
2026-08-13 00:30:00,9.1353,225,8.9282,0.2186,0.2071,0.9476,0,normal
2026-08-13 01:30:00,9.1389,225,8.9282,0.2186,0.2107,0.9639,0,normal
2026-08-13 02:30:00,9.1453,225,8.9282,0.2186,0.2171,0.9933,0,normal
2026-08-13 03:30:00,9.1385,225,8.9282,0.2186,0.2103,0.9621,0,normal
2026-08-13 04:30:00,9.1354,225,8.9282,0.2186,0.2072,0.9478,0,normal
2026-08-13 05:30:00,9.1328,225,8.9282,0.2186,0.2046,0.936,0,normal
2026-08-13 06:30:00,9.1295,225,8.9282,0.2186,0.2013,0.9207,0,normal
2026-08-13 07:30:00,9.1281,225,8.9282,0.2186,0.1999,0.9145,0,normal
2026-08-13 08:30:00,9.1286,225,8.9282,0.2186,0.2004,0.9167,0,normal
2026-08-13 09:30:00,9.1339,225,8.9282,0.2186,0.2057,0.9409,0,normal
2026-08-13 10:30:00,9.1321,225,8.9282,0.2186,0.2039,0.9327,0,normal
2026-08-13 11:30:00,9.1341,225,8.9282,0.2186,0.2059,0.9417,0,normal
2026-08-13 12:30:00,9.1324,225,8.9282,0.2186,0.2042,0.9342,0,normal
2026-08-13 13:30:00,9.1335,225,8.9282,0.2186,0.2053,0.9389,0,normal
2026-08-13 14:30:00,9.1335,225,8.9282,0.2186,0.2053,0.9393,0,normal
2026-08-13 15:30:00,9.1331,225,8.9282,0.2186,0.2049,0.9371,0,normal
2026-08-13 16:30:00,9.1284,225,8.9282,0.2186,0.2002,0.916,0,normal
2026-08-13 17:30:00,9.1266,225,8.9282,0.2186,0.1984,0.9076,0,normal
2026-08-13 18:30:00,9.1255,225,8.9282,0.2186,0.1973,0.9025,0,normal
2026-08-13 19:30:00,9.1257,225,8.9282,0.2186,0.1975,0.9036,0,normal
2026-08-13 20:30:00,9.1266,225,8.9282,0.2186,0.1984,0.9076,0,normal
2026-08-13 21:30:00,9.1273,225,8.9282,0.2186,0.1991,0.9108,0,normal
2026-08-13 22:30:00,9.1301,225,8.9282,0.2186,0.2019,0.9234,0,normal
2026-08-13 23:30:00,9.129,225,8.9282,0.2186,0.2008,0.9187,0,normal
2026-08-14 00:30:00,9.1297,226,8.9306,0.2181,0.1991,0.913,0,normal
2026-08-14 01:30:00,9.1326,226,8.9306,0.2181,0.202,0.9262,0,normal
2026-08-14 02:30:00,9.1352,226,8.9306,0.2181,0.2046,0.9379,0,normal
2026-08-14 03:30:00,9.1319,226,8.9306,0.2181,0.2013,0.923,0,normal
2026-08-14 04:30:00,9.1342,226,8.9306,0.2181,0.2036,0.9336,0,normal
2026-08-14 05:30:00,9.1339,226,8.9306,0.2181,0.2033,0.9322,0,normal
2026-08-14 06:30:00,9.1319,226,8.9306,0.2181,0.2013,0.9228,0,normal
2026-08-14 07:30:00,9.1291,226,8.9306,0.2181,0.1985,0.91,0,normal
2026-08-14 08:30:00,9.1303,226,8.9306,0.2181,0.1997,0.9155,0,normal
2026-08-14 09:30:00,9.1316,226,8.9306,0.2181,0.201,0.9217,0,normal
