time,temperature,yearday,clim_mean,clim_sd,anomaly,z,band,label
2026-08-10 19:30:00,3.864,222,3.9797,0.1031,-0.1157,-1.1225,1,unusually cool (outside 1 sigma)
2026-08-10 20:30:00,3.8895,222,3.9797,0.1031,-0.0902,-0.8747,0,normal
2026-08-10 21:30:00,3.9155,222,3.9797,0.1031,-0.0642,-0.6225,0,normal
2026-08-10 22:30:00,3.9733,222,3.9797,0.1031,-0.0064,-0.0616,0,normal
2026-08-10 23:30:00,3.9779,222,3.9797,0.1031,-0.0018,-0.0172,0,normal
2026-08-11 00:30:00,3.9569,223,3.9788,0.105,-0.0219,-0.2084,0,normal
2026-08-11 01:30:00,3.9977,223,3.9788,0.105,0.0189,0.1801,0,normal
2026-08-11 02:30:00,4.0094,223,3.9788,0.105,0.0306,0.2916,0,normal
2026-08-11 03:30:00,4.0086,223,3.9788,0.105,0.0298,0.2837,0,normal
2026-08-11 04:30:00,3.9968,223,3.9788,0.105,0.018,0.1715,0,normal
2026-08-11 05:30:00,4.0057,223,3.9788,0.105,0.0269,0.2558,0,normal
2026-08-11 06:30:00,3.9922,223,3.9788,0.105,0.0134,0.1273,0,normal
2026-08-11 07:30:00,4.0392,223,3.9788,0.105,0.0604,0.575,0,normal
2026-08-11 08:30:00,4.1153,223,3.9788,0.105,0.1365,1.2999,1,unusually warm (outside 1 sigma)
2026-08-11 09:30:00,4.1406,223,3.9788,0.105,0.1618,1.5407,1,unusually warm (outside 1 sigma)
2026-08-11 10:30:00,4.12,223,3.9788,0.105,0.1412,1.3443,1,unusually warm (outside 1 sigma)
2026-08-11 11:30:00,4.0878,223,3.9788,0.105,0.109,1.0382,1,unusually warm (outside 1 sigma)
2026-08-11 12:30:00,4.0641,223,3.9788,0.105,0.0853,0.8122,0,normal
2026-08-11 13:30:00,3.994,223,3.9788,0.105,0.0152,0.1448,0,normal
2026-08-11 14:30:00,3.9598,223,3.9788,0.105,-0.019,-0.1807,0,normal
2026-08-11 15:30:00,3.9477,223,3.9788,0.105,-0.0311,-0.2958,0,normal
2026-08-11 16:30:00,3.9081,223,3.9788,0.105,-0.0707,-0.6731,0,normal
2026-08-11 17:30:00,3.8754,223,3.9788,0.105,-0.1034,-0.9847,0,normal
2026-08-11 18:30:00,3.8907,223,3.9788,0.105,-0.0881,-0.8388,0,normal
2026-08-11 19:30:00,3.8934,223,3.9788,0.105,-0.0854,-0.8135,0,normal
2026-08-11 20:30:00,3.8829,223,3.9788,0.105,-0.0959,-0.913,0,normal
2026-08-11 21:30:00,3.9156,223,3.9788,0.105,-0.0632,-0.6016,0,normal
2026-08-11 22:30:00,3.9547,223,3.9788,0.105,-0.0241,-0.23,0,normal
2026-08-11 23:30:00,3.9728,223,3.9788,0.105,-0.006,-0.0575,0,normal
2026-08-12 00:30:00,3.9541,224,3.9779,0.1075,-0.0238,-0.2218,0,normal
2026-08-12 01:30:00,3.9545,224,3.9779,0.1075,-0.0234,-0.2179,0,normal
2026-08-12 02:30:00,3.9635,224,3.9779,0.1075,-0.0144,-0.1342,0,normal
2026-08-12 03:30:00,3.9836,224,3.9779,0.1075,0.0057,0.0527,0,normal
2026-08-12 04:30:00,3.9885,224,3.9779,0.1075,0.0106,0.0983,0,normal
2026-08-12 05:30:00,3.8904,224,3.9779,0.1075,-0.0875,-0.8141,0,normal
2026-08-12 06:30:00,3.9521,224,3.9779,0.1075,-0.0258,-0.2396,0,normal
2026-08-12 07:30:00,3.9588,224,3.9779,0.1075,-0.0191,-0.1779,0,normal
2026-08-12 08:30:00,3.9916,224,3.9779,0.1075,0.0137,0.1275,0,normal
2026-08-12 09:30:00,4.0667,224,3.9779,0.1075,0.0888,0.8264,0,normal
2026-08-12 10:30:00,4.1148,224,3.9779,0.1075,0.1369,1.2736,1,unusually warm (outside 1 sigma)
2026-08-12 11:30:00,4.1873,224,3.9779,0.1075,0.2094,1.9479,1,unusually warm (outside 1 sigma)
2026-08-12 12:30:00,4.1564,224,3.9779,0.1075,0.1785,1.6602,1,unusually warm (outside 1 sigma)
2026-08-12 13:30:00,4.0658,224,3.9779,0.1075,0.0879,0.8179,0,normal
2026-08-12 14:30:00,4.0642,224,3.9779,0.1075,0.0863,0.8029,0,normal
2026-08-12 15:30:00,4.0232,224,3.9779,0.1075,0.0453,0.4213,0,normal
2026-08-12 16:30:00,3.9911,224,3.9779,0.1075,0.0132,0.1229,0,normal
2026-08-12 17:30:00,3.9686,224,3.9779,0.1075,-0.0093,-0.0868,0,normal
2026-08-12 18:30:00,3.9185,224,3.9779,0.1075,-0.0594,-0.5526,0,normal
2026-08-12 19:30:00,3.9031,224,3.9779,0.1075,-0.0748,-0.6958,0,normal
2026-08-12 20:30:00,3.897,224,3.9779,0.1075,-0.0809,-0.7528,0,normal
2026-08-12 21:30:00,3.9019,224,3.9779,0.1075,-0.076,-0.7067,0,normal
2026-08-12 22:30:00,3.9227,224,3.9779,0.1075,-0.0552,-0.5138,0,normal
2026-08-12 23:30:00,3.9322,224,3.9779,0.1075,-0.0457,-0.4249,0,normal
2026-08-13 00:30:00,3.9756,225,3.9768,0.1098,-0.0012,-0.0106,0,normal
2026-08-13 01:30:00,4.0063,225,3.9768,0.1098,0.0295,0.269,0,normal
2026-08-13 02:30:00,4.0143,225,3.9768,0.1098,0.0375,0.3412,0,normal
2026-08-13 03:30:00,4.0014,225,3.9768,0.1098,0.0246,0.2237,0,normal
2026-08-13 04:30:00,4.0082,225,3.9768,0.1098,0.0314,0.2857,0,normal
2026-08-13 05:30:00,3.9368,225,3.9768,0.1098,-0.04,-0.3647,0,normal
2026-08-13 06:30:00,3.8794,225,3.9768,0.1098,-0.0974,-0.8869,0,normal
2026-08-13 07:30:00,3.9432,225,3.9768,0.1098,-0.0336,-0.306,0,normal
2026-08-13 08:30:00,4.0648,225,3.9768,0.1098,0.088,0.8014,0,normal
2026-08-13 09:30:00,4.0803,225,3.9768,0.1098,0.1035,0.9422,0,normal
2026-08-13 10:30:00,4.1364,225,3.9768,0.1098,0.1596,1.4536,1,unusually warm (outside 1 sigma)
2026-08-13 11:30:00,4.2115,225,3.9768,0.1098,0.2347,2.1372,2,extreme warm (outside 2 sigma)
2026-08-13 12:30:00,4.2243,225,3.9768,0.1098,0.2475,2.2542,2,extreme warm (outside 2 sigma)
2026-08-13 13:30:00,4.1535,225,3.9768,0.1098,0.1767,1.6089,1,unusually warm (outside 1 sigma)
2026-08-13 14:30:00,4.1049,225,3.9768,0.1098,0.1281,1.1671,1,unusually warm (outside 1 sigma)
2026-08-13 15:30:00,4.1151,225,3.9768,0.1098,0.1383,1.26,1,unusually warm (outside 1 sigma)
2026-08-13 16:30:00,4.0452,225,3.9768,0.1098,0.0684,0.6233,0,normal
2026-08-13 17:30:00,4.0082,225,3.9768,0.1098,0.0314,0.2863,0,normal
2026-08-13 18:30:00,4.0155,225,3.9768,0.1098,0.0387,0.3522,0,normal
2026-08-13 19:30:00,4.0149,225,3.9768,0.1098,0.0381,0.3469,0,normal
2026-08-13 20:30:00,4.0133,225,3.9768,0.1098,0.0365,0.3321,0,normal
2026-08-13 21:30:00,4.0184,225,3.9768,0.1098,0.0416,0.3791,0,normal
2026-08-13 22:30:00,4.0181,225,3.9768,0.1098,0.0413,0.376,0,normal
2026-08-13 23:30:00,4.0394,225,3.9768,0.1098,0.0626,0.5699,0,normal
2026-08-14 00:30:00,4.0612,226,3.9759,0.112,0.0853,0.7616,0,normal
2026-08-14 01:30:00,4.0018,226,3.9759,0.112,0.0259,0.2312,0,normal
2026-08-14 02:30:00,4.0207,226,3.9759,0.112,0.0448,0.3996,0,normal
2026-08-14 03:30:00,4.0335,226,3.9759,0.112,0.0576,0.5143,0,normal
2026-08-14 04:30:00,4.0193,226,3.9759,0.112,0.0434,0.3879,0,normal
2026-08-14 05:30:00,4.0165,226,3.9759,0.112,0.0406,0.3624,0,normal
2026-08-14 06:30:00,4.0043,226,3.9759,0.112,0.0284,0.2539,0,normal
2026-08-14 07:30:00,4.0225,226,3.9759,0.112,0.0466,0.416,0,normal
2026-08-14 08:30:00,4.0547,226,3.9759,0.112,0.0788,0.7032,0,normal
2026-08-14 09:30:00,4.0982,226,3.9759,0.112,0.1223,1.0917,1,unusually warm (outside 1 sigma)
2026-08-14 10:30:00,4.1447,226,3.9759,0.112,0.1688,1.5069,1,unusually warm (outside 1 sigma)
2026-08-14 11:30:00,4.2108,226,3.9759,0.112,0.2349,2.0971,2,extreme warm (outside 2 sigma)
2026-08-14 12:30:00,4.262,226,3.9759,0.112,0.2861,2.5548,2,extreme warm (outside 2 sigma)
2026-08-14 13:30:00,4.2378,226,3.9759,0.112,0.2619,2.3387,2,extreme warm (outside 2 sigma)
2026-08-14 14:30:00,4.1298,226,3.9759,0.112,0.1539,1.3745,1,unusually warm (outside 1 sigma)
2026-08-14 15:30:00,4.0675,226,3.9759,0.112,0.0916,0.8174,0,normal
2026-08-14 16:30:00,4.0538,226,3.9759,0.112,0.0779,0.6953,0,normal
2026-08-14 17:30:00,4.0323,226,3.9759,0.112,0.0564,0.5036,0,normal
2026-08-14 18:30:00,3.9578,226,3.9759,0.112,-0.0181,-0.1615,0,normal
2026-08-14 19:30:00,3.9231,226,3.9759,0.112,-0.0528,-0.4716,0,normal
2026-08-14 20:30:00,3.953,226,3.9759,0.112,-0.0229,-0.2042,0,normal
2026-08-14 21:30:00,4.0678,226,3.9759,0.112,0.0919,0.8206,0,normal
2026-08-14 22:30:00,4.0778,226,3.9759,0.112,0.1019,0.9098,0,normal
2026-08-14 23:30:00,4.0728,226,3.9759,0.112,0.0969,0.8654,0,normal
2026-08-15 00:30:00,4.0948,227,3.9752,0.114,0.1196,1.0493,1,unusually warm (outside 1 sigma)
2026-08-15 01:30:00,3.9426,227,3.9752,0.114,-0.0326,-0.2856,0,normal
2026-08-15 02:30:00,3.9467,227,3.9752,0.114,-0.0285,-0.2504,0,normal
2026-08-15 03:30:00,3.9685,227,3.9752,0.114,-0.0067,-0.0592,0,normal
2026-08-15 04:30:00,3.9716,227,3.9752,0.114,-0.0036,-0.0315,0,normal
2026-08-15 05:30:00,3.9968,227,3.9752,0.114,0.0216,0.1899,0,normal
2026-08-15 06:30:00,3.8495,227,3.9752,0.114,-0.1257,-1.1026,1,unusually cool (outside 1 sigma)
2026-08-15 07:30:00,3.8872,227,3.9752,0.114,-0.088,-0.7721,0,normal
2026-08-15 08:30:00,3.9854,227,3.9752,0.114,0.0102,0.0895,0,normal
2026-08-15 09:30:00,4.0534,227,3.9752,0.114,0.0782,0.6857,0,normal
2026-08-15 10:30:00,4.0874,227,3.9752,0.114,0.1122,0.9842,0,normal
2026-08-15 11:30:00,4.1118,227,3.9752,0.114,0.1366,1.1985,1,unusually warm (outside 1 sigma)
2026-08-15 12:30:00,4.1732,227,3.9752,0.114,0.198,1.7366,1,unusually warm (outside 1 sigma)
2026-08-15 13:30:00,4.2077,227,3.9752,0.114,0.2325,2.0393,2,extreme warm (outside 2 sigma)
2026-08-15 14:30:00,4.1151,227,3.9752,0.114,0.1399,1.2272,1,unusually warm (outside 1 sigma)
2026-08-15 15:30:00,4.0401,227,3.9752,0.114,0.0649,0.5691,0,normal
2026-08-15 16:30:00,4.0385,227,3.9752,0.114,0.0633,0.5553,0,normal
2026-08-15 17:30:00,4.0372,227,3.9752,0.114,0.062,0.544,0,normal
2026-08-15 18:30:00,4.0303,227,3.9752,0.114,0.0551,0.4834,0,normal
2026-08-15 19:30:00,4.0004,227,3.9752,0.114,0.0252,0.221,0,normal
2026-08-15 20:30:00,3.9628,227,3.9752,0.114,-0.0124,-0.1086,0,normal
