time,temperature,yearday,clim_mean,clim_sd,anomaly,z,band,label
2026-08-10 19:30:00,4.9452,222,4.7545,0.1494,0.1907,1.2764,1,unusually warm (outside 1 sigma)
2026-08-10 20:30:00,4.9366,222,4.7545,0.1494,0.1821,1.2192,1,unusually warm (outside 1 sigma)
2026-08-10 21:30:00,4.9265,222,4.7545,0.1494,0.172,1.1515,1,unusually warm (outside 1 sigma)
2026-08-10 22:30:00,4.9195,222,4.7545,0.1494,0.165,1.1042,1,unusually warm (outside 1 sigma)
2026-08-10 23:30:00,4.9195,222,4.7545,0.1494,0.165,1.1042,1,unusually warm (outside 1 sigma)
2026-08-11 00:30:00,4.9416,223,4.7534,0.1528,0.1882,1.2315,1,unusually warm (outside 1 sigma)
2026-08-11 01:30:00,4.7919,223,4.7534,0.1528,0.0385,0.2517,0,normal
2026-08-11 02:30:00,4.7924,223,4.7534,0.1528,0.039,0.2552,0,normal
2026-08-11 03:30:00,4.7148,223,4.7534,0.1528,-0.0386,-0.2525,0,normal
2026-08-11 04:30:00,4.6498,223,4.7534,0.1528,-0.1036,-0.6782,0,normal
2026-08-11 05:30:00,4.7846,223,4.7534,0.1528,0.0312,0.2044,0,normal
2026-08-11 06:30:00,4.8966,223,4.7534,0.1528,0.1432,0.9371,0,normal
2026-08-11 07:30:00,4.8812,223,4.7534,0.1528,0.1278,0.8361,0,normal
2026-08-11 08:30:00,4.7134,223,4.7534,0.1528,-0.04,-0.2615,0,normal
2026-08-11 09:30:00,4.8183,223,4.7534,0.1528,0.0649,0.4245,0,normal
2026-08-11 10:30:00,4.8013,223,4.7534,0.1528,0.0479,0.3133,0,normal
2026-08-11 11:30:00,4.8064,223,4.7534,0.1528,0.053,0.347,0,normal
2026-08-11 12:30:00,4.9198,223,4.7534,0.1528,0.1664,1.0889,1,unusually warm (outside 1 sigma)
2026-08-11 13:30:00,4.8025,223,4.7534,0.1528,0.0491,0.3211,0,normal
2026-08-11 14:30:00,4.8023,223,4.7534,0.1528,0.0489,0.3198,0,normal
2026-08-11 15:30:00,4.9257,223,4.7534,0.1528,0.1723,1.1279,1,unusually warm (outside 1 sigma)
2026-08-11 16:30:00,4.8745,223,4.7534,0.1528,0.1211,0.7928,0,normal
2026-08-11 17:30:00,4.7449,223,4.7534,0.1528,-0.0085,-0.0557,0,normal
2026-08-11 18:30:00,4.8335,223,4.7534,0.1528,0.0801,0.524,0,normal
2026-08-11 19:30:00,4.8604,223,4.7534,0.1528,0.107,0.7003,0,normal
2026-08-11 20:30:00,4.9325,223,4.7534,0.1528,0.1791,1.1721,1,unusually warm (outside 1 sigma)
2026-08-11 21:30:00,4.8927,223,4.7534,0.1528,0.1393,0.9118,0,normal
2026-08-11 22:30:00,4.9477,223,4.7534,0.1528,0.1943,1.2719,1,unusually warm (outside 1 sigma)
2026-08-11 23:30:00,4.9068,223,4.7534,0.1528,0.1534,1.0041,1,unusually warm (outside 1 sigma)
2026-08-12 00:30:00,4.8492,224,4.7515,0.1569,0.0977,0.6225,0,normal
2026-08-12 01:30:00,4.9651,224,4.7515,0.1569,0.2136,1.3616,1,unusually warm (outside 1 sigma)
2026-08-12 02:30:00,4.7347,224,4.7515,0.1569,-0.0168,-0.1068,0,normal
2026-08-12 03:30:00,4.6948,224,4.7515,0.1569,-0.0567,-0.3616,0,normal
2026-08-12 04:30:00,4.8429,224,4.7515,0.1569,0.0914,0.5823,0,normal
2026-08-12 05:30:00,4.8892,224,4.7515,0.1569,0.1377,0.8779,0,normal
2026-08-12 06:30:00,4.8371,224,4.7515,0.1569,0.0856,0.5455,0,normal
2026-08-12 07:30:00,4.5147,224,4.7515,0.1569,-0.2368,-1.5091,1,unusually cool (outside 1 sigma)
2026-08-12 08:30:00,4.657,224,4.7515,0.1569,-0.0945,-0.6021,0,normal
2026-08-12 09:30:00,4.9235,224,4.7515,0.1569,0.172,1.0962,1,unusually warm (outside 1 sigma)
2026-08-12 10:30:00,4.9214,224,4.7515,0.1569,0.1699,1.083,1,unusually warm (outside 1 sigma)
2026-08-12 11:30:00,4.7253,224,4.7515,0.1569,-0.0262,-0.1672,0,normal
2026-08-12 12:30:00,4.6488,224,4.7515,0.1569,-0.1027,-0.6543,0,normal
2026-08-12 13:30:00,4.9393,224,4.7515,0.1569,0.1878,1.1967,1,unusually warm (outside 1 sigma)
2026-08-12 14:30:00,4.9964,224,4.7515,0.1569,0.2449,1.5609,1,unusually warm (outside 1 sigma)
2026-08-12 15:30:00,4.674,224,4.7515,0.1569,-0.0775,-0.4939,0,normal
2026-08-12 16:30:00,4.6356,224,4.7515,0.1569,-0.1159,-0.7388,0,normal
2026-08-12 17:30:00,4.7223,224,4.7515,0.1569,-0.0292,-0.1863,0,normal
2026-08-12 18:30:00,4.8799,224,4.7515,0.1569,0.1284,0.8183,0,normal
2026-08-12 19:30:00,4.9666,224,4.7515,0.1569,0.2151,1.3713,1,unusually warm (outside 1 sigma)
2026-08-12 20:30:00,4.9599,224,4.7515,0.1569,0.2084,1.3281,1,unusually warm (outside 1 sigma)
2026-08-12 21:30:00,4.9434,224,4.7515,0.1569,0.1919,1.2232,1,unusually warm (outside 1 sigma)
2026-08-12 22:30:00,4.9924,224,4.7515,0.1569,0.2409,1.5354,1,unusually warm (outside 1 sigma)
2026-08-12 23:30:00,4.8799,224,4.7515,0.1569,0.1284,0.8183,0,normal
2026-08-13 00:30:00,4.6885,225,4.7489,0.1611,-0.0604,-0.3748,0,normal
2026-08-13 01:30:00,4.6317,225,4.7489,0.1611,-0.1172,-0.7274,0,normal
2026-08-13 02:30:00,4.71,225,4.7489,0.1611,-0.0389,-0.2414,0,normal
2026-08-13 03:30:00,4.6906,225,4.7489,0.1611,-0.0583,-0.3619,0,normal
2026-08-13 04:30:00,4.69,225,4.7489,0.1611,-0.0589,-0.3654,0,normal
2026-08-13 05:30:00,4.6828,225,4.7489,0.1611,-0.0661,-0.4101,0,normal
2026-08-13 06:30:00,4.7012,225,4.7489,0.1611,-0.0477,-0.2959,0,normal
2026-08-13 07:30:00,4.6796,225,4.7489,0.1611,-0.0693,-0.4299,0,normal
2026-08-13 08:30:00,4.6537,225,4.7489,0.1611,-0.0952,-0.591,0,normal
2026-08-13 09:30:00,4.6372,225,4.7489,0.1611,-0.1117,-0.6931,0,normal
2026-08-13 10:30:00,4.7055,225,4.7489,0.1611,-0.0434,-0.2695,0,normal
2026-08-13 11:30:00,4.8795,225,4.7489,0.1611,0.1306,0.8107,0,normal
2026-08-13 12:30:00,4.9028,225,4.7489,0.1611,0.1539,0.9555,0,normal
2026-08-13 13:30:00,4.7871,225,4.7489,0.1611,0.0382,0.2372,0,normal
2026-08-13 14:30:00,4.8133,225,4.7489,0.1611,0.0644,0.3997,0,normal
2026-08-13 15:30:00,4.7596,225,4.7489,0.1611,0.0107,0.0664,0,normal
2026-08-13 16:30:00,4.6568,225,4.7489,0.1611,-0.0921,-0.5715,0,normal
2026-08-13 17:30:00,4.7156,225,4.7489,0.1611,-0.0333,-0.2066,0,normal
2026-08-13 18:30:00,4.6814,225,4.7489,0.1611,-0.0675,-0.4193,0,normal
2026-08-13 19:30:00,4.5869,225,4.7489,0.1611,-0.162,-1.0057,1,unusually cool (outside 1 sigma)
2026-08-13 20:30:00,4.6442,225,4.7489,0.1611,-0.1047,-0.6496,0,normal
2026-08-13 21:30:00,4.713,225,4.7489,0.1611,-0.0359,-0.223,0,normal
2026-08-13 22:30:00,4.7576,225,4.7489,0.1611,0.0087,0.0537,0,normal
2026-08-13 23:30:00,4.7993,225,4.7489,0.1611,0.0504,0.3129,0,normal
2026-08-14 00:30:00,4.7641,226,4.7461,0.1649,0.018,0.1089,0,normal
2026-08-14 01:30:00,4.7182,226,4.7461,0.1649,-0.0279,-0.1695,0,normal
2026-08-14 02:30:00,4.7577,226,4.7461,0.1649,0.0116,0.0703,0,normal
2026-08-14 03:30:00,4.8794,226,4.7461,0.1649,0.1333,0.8084,0,normal
2026-08-14 04:30:00,4.8037,226,4.7461,0.1649,0.0576,0.3492,0,normal
2026-08-14 05:30:00,4.6796,226,4.7461,0.1649,-0.0665,-0.403,0,normal
2026-08-14 06:30:00,4.5257,226,4.7461,0.1649,-0.2204,-1.3364,1,unusually cool (outside 1 sigma)
2026-08-14 07:30:00,4.5566,226,4.7461,0.1649,-0.1895,-1.149,1,unusually cool (outside 1 sigma)
2026-08-14 08:30:00,4.6488,226,4.7461,0.1649,-0.0973,-0.5902,0,normal
2026-08-14 09:30:00,4.8049,226,4.7461,0.1649,0.0588,0.3568,0,normal
2026-08-14 10:30:00,4.8788,226,4.7461,0.1649,0.1327,0.8044,0,normal
2026-08-14 11:30:00,4.8457,226,4.7461,0.1649,0.0996,0.6042,0,normal
2026-08-14 12:30:00,4.7282,226,4.7461,0.1649,-0.0179,-0.1084,0,normal
2026-08-14 13:30:00,4.5879,226,4.7461,0.1649,-0.1582,-0.9594,0,normal
2026-08-14 14:30:00,4.5875,226,4.7461,0.1649,-0.1586,-0.9616,0,normal
2026-08-14 15:30:00,4.6931,226,4.7461,0.1649,-0.053,-0.3214,0,normal
2026-08-14 16:30:00,4.7745,226,4.7461,0.1649,0.0284,0.1723,0,normal
2026-08-14 17:30:00,4.8353,226,4.7461,0.1649,0.0892,0.5407,0,normal
2026-08-14 18:30:00,4.7036,226,4.7461,0.1649,-0.0425,-0.2579,0,normal
2026-08-14 19:30:00,4.7071,226,4.7461,0.1649,-0.039,-0.2364,0,normal
2026-08-14 20:30:00,4.7247,226,4.7461,0.1649,-0.0214,-0.1296,0,normal
2026-08-14 21:30:00,4.7193,226,4.7461,0.1649,-0.0268,-0.1627,0,normal
2026-08-14 22:30:00,4.7781,226,4.7461,0.1649,0.032,0.1942,0,normal
2026-08-14 23:30:00,4.7391,226,4.7461,0.1649,-0.007,-0.0427,0,normal
2026-08-15 00:30:00,4.7034,227,4.7431,0.168,-0.0397,-0.2364,0,normal
2026-08-15 01:30:00,4.7537,227,4.7431,0.168,0.0106,0.0631,0,normal
2026-08-15 02:30:00,4.8956,227,4.7431,0.168,0.1525,0.9079,0,normal
2026-08-15 03:30:00,4.762,227,4.7431,0.168,0.0189,0.1123,0,normal
2026-08-15 04:30:00,4.4936,227,4.7431,0.168,-0.2495,-1.4853,1,unusually cool (outside 1 sigma)
2026-08-15 05:30:00,4.6079,227,4.7431,0.168,-0.1352,-0.8046,0,normal
2026-08-15 06:30:00,4.6524,227,4.7431,0.168,-0.0907,-0.54,0,normal
2026-08-15 07:30:00,4.6516,227,4.7431,0.168,-0.0915,-0.5446,0,normal
2026-08-15 08:30:00,4.6408,227,4.7431,0.168,-0.1023,-0.609,0,normal
2026-08-15 09:30:00,4.6385,227,4.7431,0.168,-0.1046,-0.6226,0,normal
2026-08-15 10:30:00,4.6699,227,4.7431,0.168,-0.0732,-0.4358,0,normal
2026-08-15 11:30:00,4.7086,227,4.7431,0.168,-0.0345,-0.2052,0,normal
2026-08-15 12:30:00,4.773,227,4.7431,0.168,0.0299,0.178,0,normal
2026-08-15 13:30:00,4.7908,227,4.7431,0.168,0.0477,0.2839,0,normal
2026-08-15 14:30:00,4.8388,227,4.7431,0.168,0.0957,0.5698,0,normal
2026-08-15 15:30:00,4.7179,227,4.7431,0.168,-0.0252,-0.1499,0,normal
2026-08-15 16:30:00,4.791,227,4.7431,0.168,0.0479,0.2848,0,normal
2026-08-15 17:30:00,4.8122,227,4.7431,0.168,0.0691,0.4112,0,normal
2026-08-15 18:30:00,4.7013,227,4.7431,0.168,-0.0418,-0.2486,0,normal
2026-08-15 19:30:00,4.7185,227,4.7431,0.168,-0.0246,-0.1464,0,normal
2026-08-15 20:30:00,4.7105,227,4.7431,0.168,-0.0326,-0.1942,0,normal
2026-08-15 21:30:00,4.666,227,4.7431,0.168,-0.0771,-0.4592,0,normal
2026-08-15 22:30:00,4.7457,227,4.7431,0.168,0.0026,0.0153,0,normal
2026-08-15 23:30:00,4.8414,227,4.7431,0.168,0.0983,0.585,0,normal
2026-08-16 00:30:00,4.8698,228,4.7402,0.1703,0.1296,0.761,0,normal
2026-08-16 01:30:00,4.7587,228,4.7402,0.1703,0.0185,0.1089,0,normal
2026-08-16 02:30:00,4.7524,228,4.7402,0.1703,0.0122,0.0717,0,normal
2026-08-16 03:30:00,4.7802,228,4.7402,0.1703,0.04,0.2347,0,normal
2026-08-16 04:30:00,4.7381,228,4.7402,0.1703,-0.0021,-0.0123,0,normal
2026-08-16 05:30:00,4.7813,228,4.7402,0.1703,0.0411,0.2412,0,normal
2026-08-16 06:30:00,4.8025,228,4.7402,0.1703,0.0623,0.366,0,normal
2026-08-16 07:30:00,4.7443,228,4.7402,0.1703,0.0041,0.0242,0,normal
2026-08-16 08:30:00,4.7035,228,4.7402,0.1703,-0.0367,-0.2156,0,normal
2026-08-16 09:30:00,4.694,228,4.7402,0.1703,-0.0462,-0.2715,0,normal
2026-08-16 10:30:00,4.6916,228,4.7402,0.1703,-0.0486,-0.2853,0,normal
2026-08-16 11:30:00,4.7651,228,4.7402,0.1703,0.0249,0.1461,0,normal
2026-08-16 12:30:00,4.7887,228,4.7402,0.1703,0.0485,0.2849,0,normal
2026-08-16 13:30:00,4.8045,228,4.7402,0.1703,0.0643,0.3777,0,normal
2026-08-16 14:30:00,4.7049,228,4.7402,0.1703,-0.0353,-0.2072,0,normal
2026-08-16 15:30:00,4.7668,228,4.7402,0.1703,0.0266,0.1564,0,normal
2026-08-16 16:30:00,4.8137,228,4.7402,0.1703,0.0735,0.4316,0,normal
2026-08-16 17:30:00,4.831,228,4.7402,0.1703,0.0908,0.5333,0,normal
2026-08-16 18:30:00,4.871,228,4.7402,0.1703,0.1308,0.7681,0,normal
2026-08-16 19:30:00,4.8789,228,4.7402,0.1703,0.1387,0.8147,0,normal
2026-08-16 20:30:00,4.7772,228,4.7402,0.1703,0.037,0.2173,0,normal
2026-08-16 21:30:00,4.7587,228,4.7402,0.1703,0.0185,0.1086,0,normal
2026-08-16 22:30:00,4.7637,228,4.7402,0.1703,0.0235,0.1381,0,normal
2026-08-16 23:30:00,4.7884,228,4.7402,0.1703,0.0482,0.2828,0,normal
2026-08-17 00:30:00,4.7662,229,4.7388,0.1719,0.0274,0.1593,0,normal
2026-08-17 01:30:00,4.7364,229,4.7388,0.1719,-0.0024,-0.014,0,normal
2026-08-17 02:30:00,4.7256,229,4.7388,0.1719,-0.0132,-0.0765,0,normal
2026-08-17 03:30:00,4.7461,229,4.7388,0.1719,0.0073,0.0422,0,normal
2026-08-17 04:30:00,4.8105,229,4.7388,0.1719,0.0717,0.4173,0,normal
2026-08-17 05:30:00,4.9182,229,4.7388,0.1719,0.1794,1.0436,1,unusually warm (outside 1 sigma)
2026-08-17 06:30:00,4.8937,229,4.7388,0.1719,0.1549,0.9012,0,normal
2026-08-17 07:30:00,4.8936,229,4.7388,0.1719,0.1548,0.9004,0,normal
2026-08-17 08:30:00,4.9089,229,4.7388,0.1719,0.1701,0.9894,0,normal
2026-08-17 09:30:00,4.8881,229,4.7388,0.1719,0.1493,0.8686,0,normal
2026-08-17 10:30:00,4.7799,229,4.7388,0.1719,0.0411,0.2393,0,normal
2026-08-17 11:30:00,4.7289,229,4.7388,0.1719,-0.0099,-0.0574,0,normal
2026-08-17 12:30:00,4.6305,229,4.7388,0.1719,-0.1083,-0.6299,0,normal
2026-08-17 13:30:00,4.7933,229,4.7388,0.1719,0.0545,0.3169,0,normal
2026-08-17 14:30:00,4.9784,229,4.7388,0.1719,0.2396,1.3937,1,unusually warm (outside 1 sigma)
2026-08-17 15:30:00,4.8722,229,4.7388,0.1719,0.1334,0.776,0,normal
2026-08-17 16:30:00,4.9253,229,4.7388,0.1719,0.1865,1.085,1,unusually warm (outside 1 sigma)
2026-08-17 17:30:00,4.9723,229,4.7388,0.1719,0.2335,1.3583,1,unusually warm (outside 1 sigma)
2026-08-17 18:30:00,5.016,229,4.7388,0.1719,0.2772,1.6126,1,unusually warm (outside 1 sigma)
2026-08-17 19:30:00,4.9989,229,4.7388,0.1719,0.2601,1.5133,1,unusually warm (outside 1 sigma)
2026-08-17 20:30:00,4.9408,229,4.7388,0.1719,0.202,1.1752,1,unusually warm (outside 1 sigma)
2026-08-17 21:30:00,4.9168,229,4.7388,0.1719,0.178,1.0357,1,unusually warm (outside 1 sigma)
2026-08-17 22:30:00,4.909,229,4.7388,0.1719,0.1702,0.9899,0,normal
2026-08-17 23:30:00,4.8156,229,4.7388,0.1719,0.0768,0.4468,0,normal
2026-08-18 00:30:00,4.7811,230,4.7379,0.1732,0.0432,0.2492,0,normal
2026-08-18 01:30:00,4.8444,230,4.7379,0.1732,0.1065,0.6147,0,normal
2026-08-18 02:30:00,4.9035,230,4.7379,0.1732,0.1656,0.956,0,normal
2026-08-18 03:30:00,4.8998,230,4.7379,0.1732,0.1619,0.9346,0,normal
2026-08-18 04:30:00,4.9579,230,4.7379,0.1732,0.22,1.2704,1,unusually warm (outside 1 sigma)
2026-08-18 05:30:00,4.9737,230,4.7379,0.1732,0.2358,1.3612,1,unusually warm (outside 1 sigma)
2026-08-18 06:30:00,5.0406,230,4.7379,0.1732,0.3027,1.7477,1,unusually warm (outside 1 sigma)
2026-08-18 07:30:00,5.0213,230,4.7379,0.1732,0.2834,1.6364,1,unusually warm (outside 1 sigma)
2026-08-18 08:30:00,4.9866,230,4.7379,0.1732,0.2487,1.4361,1,unusually warm (outside 1 sigma)
2026-08-18 09:30:00,4.9668,230,4.7379,0.1732,0.2289,1.3218,1,unusually warm (outside 1 sigma)
2026-08-18 10:30:00,4.9508,230,4.7379,0.1732,0.2129,1.2294,1,unusually warm (outside 1 sigma)
2026-08-18 11:30:00,4.8925,230,4.7379,0.1732,0.1546,0.8926,0,normal
2026-08-18 12:30:00,4.8747,230,4.7379,0.1732,0.1368,0.7897,0,normal
2026-08-18 13:30:00,4.8793,230,4.7379,0.1732,0.1414,0.8164,0,normal
2026-08-18 14:30:00,4.9113,230,4.7379,0.1732,0.1734,1.001,1,unusually warm (outside 1 sigma)
2026-08-18 15:30:00,4.9667,230,4.7379,0.1732,0.2288,1.3211,1,unusually warm (outside 1 sigma)
2026-08-18 16:30:00,4.93,230,4.7379,0.1732,0.1921,1.1092,1,unusually warm (outside 1 sigma)
2026-08-18 17:30:00,5.0315,230,4.7379,0.1732,0.2936,1.6954,1,unusually warm (outside 1 sigma)
2026-08-18 18:30:00,5.0517,230,4.7379,0.1732,0.3138,1.812,1,unusually warm (outside 1 sigma)
2026-08-18 20:30:00,5.0573,230,4.7379,0.1732,0.3194,1.8443,1,unusually warm (outside 1 sigma)
2026-08-18 21:30:00,4.9779,230,4.7379,0.1732,0.24,1.3859,1,unusually warm (outside 1 sigma)
2026-08-18 22:30:00,4.8826,230,4.7379,0.1732,0.1447,0.8352,0,normal
2026-08-18 23:30:00,4.8564,230,4.7379,0.1732,0.1185,0.6843,0,normal
2026-08-19 01:30:00,4.8204,231,4.7373,0.1747,0.0831,0.4755,0,normal
2026-08-19 02:30:00,4.7556,231,4.7373,0.1747,0.0183,0.1046,0,normal
2026-08-19 03:30:00,4.9039,231,4.7373,0.1747,0.1666,0.9536,0,normal
2026-08-19 04:30:00,5.0122,231,4.7373,0.1747,0.2749,1.5738,1,unusually warm (outside 1 sigma)
2026-08-19 05:30:00,4.9584,231,4.7373,0.1747,0.2211,1.2656,1,unusually warm (outside 1 sigma)
2026-08-19 06:30:00,4.923,231,4.7373,0.1747,0.1857,1.0629,1,unusually warm (outside 1 sigma)
2026-08-19 07:30:00,4.9913,231,4.7373,0.1747,0.254,1.4542,1,unusually warm (outside 1 sigma)
2026-08-19 08:30:00,4.9466,231,4.7373,0.1747,0.2093,1.1982,1,unusually warm (outside 1 sigma)
2026-08-19 09:30:00,4.9208,231,4.7373,0.1747,0.1835,1.0504,1,unusually warm (outside 1 sigma)
2026-08-19 10:30:00,4.9236,231,4.7373,0.1747,0.1863,1.0662,1,unusually warm (outside 1 sigma)
2026-08-19 11:30:00,4.8921,231,4.7373,0.1747,0.1548,0.8861,0,normal
