time,temperature,yearday,clim_mean,clim_sd,anomaly,z,band,label
2026-08-10 19:30:00,5.781,222,5.7721,0.2311,0.0089,0.0383,0,normal
2026-08-10 20:30:00,5.9436,222,5.7721,0.2311,0.1715,0.7421,0,normal
2026-08-10 21:30:00,5.9672,222,5.7721,0.2311,0.1951,0.8442,0,normal
2026-08-10 22:30:00,5.9705,222,5.7721,0.2311,0.1984,0.8585,0,normal
2026-08-10 23:30:00,5.9849,222,5.7721,0.2311,0.2128,0.9208,0,normal
2026-08-11 00:30:00,6.0273,223,5.7823,0.2299,0.245,1.0655,1,unusually warm (outside 1 sigma)
2026-08-11 01:30:00,6.065,223,5.7823,0.2299,0.2827,1.2298,1,unusually warm (outside 1 sigma)
2026-08-11 02:30:00,6.0882,223,5.7823,0.2299,0.3059,1.3307,1,unusually warm (outside 1 sigma)
2026-08-11 03:30:00,6.0946,223,5.7823,0.2299,0.3123,1.3582,1,unusually warm (outside 1 sigma)
2026-08-11 04:30:00,5.9186,223,5.7823,0.2299,0.1363,0.5929,0,normal
2026-08-11 05:30:00,5.8572,223,5.7823,0.2299,0.0749,0.3259,0,normal
2026-08-11 06:30:00,5.8722,223,5.7823,0.2299,0.0899,0.3912,0,normal
2026-08-11 07:30:00,5.8953,223,5.7823,0.2299,0.113,0.4915,0,normal
2026-08-11 08:30:00,5.916,223,5.7823,0.2299,0.1337,0.5816,0,normal
2026-08-11 09:30:00,5.9035,223,5.7823,0.2299,0.1212,0.5274,0,normal
2026-08-11 10:30:00,6.0251,223,5.7823,0.2299,0.2428,1.0563,1,unusually warm (outside 1 sigma)
2026-08-11 11:30:00,6.1259,223,5.7823,0.2299,0.3436,1.4947,1,unusually warm (outside 1 sigma)
2026-08-11 12:30:00,6.1883,223,5.7823,0.2299,0.406,1.7662,1,unusually warm (outside 1 sigma)
2026-08-11 13:30:00,6.2375,223,5.7823,0.2299,0.4552,1.98,1,unusually warm (outside 1 sigma)
2026-08-11 14:30:00,6.2686,223,5.7823,0.2299,0.4863,2.1154,2,extreme warm (outside 2 sigma)
