yearday,mean,sd,n,n_years,p05,p10,p25,p50,p75,p90,p95,lo1,hi1,lo2,hi2
1,3.7983,0.1196,5057,18,3.6178,3.6518,3.716,3.7899,3.8717,3.9542,4.0124,3.6787,3.9179,3.5591,4.0374
2,3.8002,0.1203,5082,18,3.6197,3.6532,3.7177,3.7924,3.8738,3.9574,4.0164,3.6799,3.9205,3.5595,4.0408
3,3.8013,0.1212,5078,18,3.618,3.6516,3.7189,3.794,3.8755,3.9587,4.0225,3.68,3.9225,3.5588,4.0437
4,3.8016,0.1223,5078,18,3.6162,3.6511,3.7186,3.7955,3.8782,3.9633,4.0247,3.6792,3.9239,3.5569,4.0462
5,3.8015,0.1235,5074,18,3.6149,3.6481,3.7158,3.7939,3.8765,3.9606,4.0246,3.678,3.9249,3.5545,4.0484
6,3.8013,0.1243,5055,18,3.6107,3.6468,3.7124,3.7927,3.8779,3.9586,4.0233,3.677,3.9256,3.5528,4.0499
7,3.8012,0.1246,5030,18,3.6131,3.6478,3.7122,3.7916,3.8797,3.9632,4.0279,3.6765,3.9258,3.5519,4.0505
8,3.8014,0.1248,5006,15,3.6141,3.6494,3.7126,3.7915,3.8815,3.9641,4.028,3.6766,3.9262,3.5518,4.051
9,3.802,0.1248,4982,15,3.6159,3.6516,3.7142,3.7931,3.8837,3.9646,4.0276,3.6772,3.9268,3.5524,4.0516
10,3.8028,0.1246,4958,15,3.6176,3.6523,3.7137,3.7931,3.8837,3.9652,4.0258,3.6782,3.9274,3.5537,4.0519
11,3.8037,0.1245,4931,15,3.6176,3.6525,3.7136,3.7936,3.8832,3.9651,4.0254,3.6792,3.9282,3.5547,4.0527
12,3.8045,0.1249,4907,15,3.6198,3.6553,3.7162,3.7949,3.8847,3.9694,4.0285,3.6796,3.9294,3.5548,4.0543
13,3.8053,0.1254,4883,15,3.6195,3.6576,3.7167,3.7964,3.8849,3.9718,4.0331,3.6799,3.9307,3.5545,4.0561
14,3.8061,0.1262,4861,15,3.6185,3.6573,3.7172,3.7964,3.8867,3.9772,4.0362,3.6799,3.9323,3.5537,4.0585
15,3.806,0.1267,4835,15,3.6162,3.6556,3.7169,3.7966,3.8868,3.9766,4.0362,3.6793,3.9327,3.5526,4.0595
16,3.8056,0.1266,4787,15,3.6149,3.6521,3.7158,3.7956,3.889,3.9772,4.0352,3.679,3.9322,3.5523,4.0588
