yearday,mean,sd,n,n_years,p05,p10,p25,p50,p75,p90,p95,lo1,hi1,lo2,hi2
1,4.5964,0.1477,2602,9,4.358,4.4083,4.4978,4.5948,4.6955,4.7874,4.8454,4.4487,4.7441,4.301,4.8918
2,4.5966,0.1495,2603,9,4.3564,4.4063,4.4961,4.5959,4.697,4.7915,4.8471,4.4471,4.7461,4.2976,4.8956
3,4.5964,0.1515,2599,9,4.3525,4.4035,4.4955,4.5954,4.6997,4.795,4.8582,4.4449,4.748,4.2934,4.8995
4,4.5957,0.1536,2599,9,4.3504,4.3985,4.4907,4.5945,4.6997,4.7986,4.8633,4.4421,4.7493,4.2886,4.9028
5,4.5943,0.1554,2596,9,4.3461,4.3963,4.4851,4.5927,4.7012,4.8012,4.8643,4.439,4.7497,4.2836,4.9051
6,4.5923,0.1569,2600,9,4.3427,4.3946,4.4786,4.59,4.7,4.7994,4.8601,4.4354,4.7491,4.2786,4.906
7,4.5907,0.1582,2600,9,4.3414,4.3907,4.4746,4.5861,4.6986,4.7994,4.8582,4.4325,4.7489,4.2744,4.9071
8,4.5897,0.1596,2600,8,4.3413,4.3882,4.4705,4.5823,4.6982,4.7993,4.8593,4.4301,4.7493,4.2705,4.9088
9,4.5892,0.1614,2600,8,4.3409,4.3886,4.47,4.5823,4.7036,4.8037,4.8638,4.4278,4.7506,4.2664,4.9121
10,4.589,0.1637,2600,8,4.3369,4.3848,4.4676,4.5833,4.7064,4.8086,4.8683,4.4253,4.7527,4.2616,4.9164
11,4.5889,0.166,2596,8,4.3352,4.3831,4.4663,4.5816,4.7087,4.8109,4.8813,4.4229,4.7548,4.2569,4.9208
12,4.5884,0.1682,2596,8,4.3328,4.3814,4.4653,4.5782,4.7046,4.8118,4.8847,4.4202,4.7566,4.252,4.9248
13,4.588,0.1698,2596,8,4.3295,4.3802,4.4637,4.5731,4.7012,4.8134,4.895,4.4182,4.7578,4.2485,4.9276
14,4.5879,0.171,2596,8,4.329,4.3795,4.4638,4.5732,4.6971,4.8149,4.9032,4.417,4.7589,4.246,4.9298
