yearday,mean,sd,n,n_years,p05,p10,p25,p50,p75,p90,p95,lo1,hi1,lo2,hi2
1,9.0852,0.9345,4061,14,7.5488,7.8034,8.4631,8.9955,9.6117,10.2466,10.7398,8.1507,10.0197,7.2162,10.9542
2,9.0478,0.9005,4085,14,7.5415,7.8288,8.4638,8.9554,9.5583,10.2066,10.6422,8.1473,9.9483,7.2468,10.8488
3,9.0137,0.865,4103,14,7.5376,7.869,8.4586,8.9317,9.5185,10.1418,10.5557,8.1487,9.8787,7.2836,10.7437
4,8.9853,0.8317,4106,14,7.5418,7.8632,8.4523,8.9382,9.4868,10.0652,10.422,8.1536,9.8169,7.3219,10.6486
5,8.9634,0.8009,4104,14,7.5434,7.874,8.4438,8.9389,9.4688,9.9593,10.2835,8.1626,9.7643,7.3617,10.5652
6,8.9476,0.7743,4100,14,7.5454,7.8897,8.4348,8.9428,9.4516,9.8671,10.2317,8.1733,9.7219,7.399,10.4962
7,8.9369,0.752,4100,14,7.5499,7.9106,8.44,8.9506,9.4357,9.8262,10.1403,8.1849,9.6889,7.4329,10.4409
8,8.9306,0.7327,4100,12,7.5513,7.9465,8.4355,8.9444,9.4329,9.7994,10.1011,8.1979,9.6633,7.4651,10.3961
9,8.927,0.7166,4099,12,7.5643,8.005,8.4313,8.9297,9.4298,9.7734,10.0967,8.2104,9.6436,7.4938,10.3602
10,8.9261,0.7051,4099,12,7.6861,8.0291,8.4284,8.9335,9.4231,9.7341,10.0952,8.221,9.6312,7.5158,10.3364
11,8.9275,0.697,4097,12,7.7774,8.0248,8.4239,8.939,9.4212,9.7221,10.0891,8.2306,9.6245,7.5336,10.3215
12,8.9312,0.6942,4091,12,7.841,8.025,8.4225,8.9817,9.4298,9.7222,10.0765,8.237,9.6254,7.5427,10.3196
13,8.9375,0.6965,4079,12,7.8549,8.0163,8.4236,9.0067,9.4213,9.7392,10.092,8.241,9.634,7.5445,10.3304
14,8.943,0.6994,4072,12,7.8503,8.002,8.4271,9.0389,9.4228,9.787,10.1046,8.2435,9.6424,7.5441,10.3418
15,8.9438,0.7021,4054,12,7.8494,7.977,8.436,9.0653,9.4208,9.8026,10.1206,8.2416,9.6459,7.5395,10.348
16,8.9393,0.7046,4054,12,7.8378,7.9415,8.4327,9.0603,9.4115,9.8024,10.1121,8.2347,9.644,7.5301,10.3486
17,8.9297,0.7056,4054,12,7.8456,7.9243,8.3846,9.0439,9.4068,9.8088,10.093,8.2241,9.6353,7.5184,10.341
18,8.9146,0.7074,4060,12,7.8377,7.9142,8.338,9.0205,9.3995,9.8089,10.0773,8.2073,9.622,7.4999,10.3294
19,8.8975,0.7113,4081,12,7.8333,7.903,8.3032,8.9785,9.4018,9.808,10.0734,8.1862,9.6087,7.475,10.32
20,8.8792,0.7175,4107,12,7.8316,7.8903,8.2751,8.9404,9.3998,9.8058,10.0746,8.1617,9.5967,7.4442,10.3141
21,8.8611,0.7249,4135,12,7.8263,7.8846,8.239,8.8972,9.3958,9.8133,10.0879,8.1362,9.586,7.4114,10.3109
22,8.8425,0.733,4159,12,7.8112,7.8763,8.1932,8.8688,9.3958,9.7998,10.0961,8.1094,9.5755,7.3764,10.3085
23,8.8246,0.7409,4183,12,7.8034,7.8637,8.1596,8.8495,9.371,9.8149,10.0901,8.0837,9.5655,7.3428,10.3065
24,8.8083,0.7479,4208,12,7.7946,7.8536,8.1314,8.8055,9.3585,9.8384,10.0899,8.0604,9.5562,7.3125,10.3041
25,8.7923,0.7536,4232,12,7.7951,7.8528,8.1149,8.7545,9.3602,9.8558,10.0846,8.0388,9.5459,7.2852,10.2994
26,8.7758,0.7581,4258,12,7.7957,7.8537,8.101,8.7214,9.3698,9.8627,10.0841,8.0177,9.5339,7.2596,10.292
27,8.7581,0.7585,4287,13,7.7924,7.85,8.0846,8.6739,9.3584,9.8597,10.0838,7.9997,9.5166,7.2412,10.2751
28,8.7373,0.7569,4322,13,7.7916,7.8463,8.0656,8.61,9.3534,9.8288,10.0753,7.9804,9.4942,7.2234,10.2512
29,8.7138,0.7559,4353,13,7.7854,7.84,8.0548,8.5698,9.3183,9.8055,10.0611,7.9578,9.4697,7.2019,10.2256
30,8.6905,0.7568,4395,13,7.7663,7.8257,8.0329,8.5196,9.3032,9.7866,10.0367,7.9337,9.4473,7.1769,10.2041
31,8.6686,0.7622,4419,13,7.7402,7.8108,8.0167,8.4642,9.3254,9.7726,10.0263,7.9064,9.4307,7.1442,10.1929
32,8.6499,0.7729,4442,13,7.7203,7.7937,7.999,8.4296,9.3328,9.7639,10.0141,7.8769,9.4228,7.104,10.1957
33,8.6361,0.7871,4456,13,7.6663,7.7747,7.9832,8.4164,9.3308,9.7624,10.014,7.8489,9.4232,7.0618,10.2104
34,8.6245,0.8025,4462,13,7.6323,7.7662,7.9894,8.4013,9.3269,9.762,10.0139,7.822,9.4269,7.0196,10.2294
35,8.6134,0.818,4486,13,7.6058,7.7517,7.9943,8.3994,9.3328,9.7597,10.0123,7.7954,9.4314,6.9774,10.2494
36,8.6021,0.8307,4511,13,7.5802,7.7335,7.9892,8.3939,9.3213,9.7559,10.0118,7.7714,9.4328,6.9407,10.2634
