yearday,mean,sd,n,n_years,p05,p10,p25,p50,p75,p90,p95,lo1,hi1,lo2,hi2
1,5.8683,0.2938,4783,18,5.4205,5.4965,5.6604,5.8537,6.0506,6.27,6.4089,5.5745,6.1622,5.2807,6.456
2,5.8683,0.2973,4783,18,5.4128,5.4925,5.6571,5.854,6.0535,6.2847,6.4152,5.5711,6.1656,5.2738,6.4629
3,5.8681,0.301,4759,18,5.4082,5.4862,5.6538,5.8516,6.0541,6.2853,6.4189,5.5672,6.1691,5.2662,6.4701
4,5.8675,0.3051,4757,18,5.4027,5.4812,5.6511,5.8543,6.0579,6.2885,6.4227,5.5625,6.1726,5.2574,6.4776
5,5.8669,0.3095,4753,18,5.3904,5.4716,5.6443,5.8513,6.0611,6.2923,6.428,5.5575,6.1764,5.248,6.4859
6,5.8664,0.3139,4729,18,5.3778,5.4637,5.64,5.8516,6.0652,6.2989,6.4346,5.5525,6.1803,5.2387,6.4941
7,5.8659,0.3182,4702,18,5.3658,5.4563,5.6333,5.852,6.0744,6.3027,6.4361,5.5477,6.1841,5.2295,6.5023
8,5.8661,0.3219,4670,14,5.3579,5.4514,5.6329,5.8517,6.0769,6.2997,6.4369,5.5441,6.188,5.2222,6.5099
9,5.8664,0.3253,4639,14,5.3416,5.4476,5.6356,5.8578,6.0783,6.2989,6.4372,5.5412,6.1917,5.2159,6.517
10,5.8673,0.3287,4614,14,5.332,5.4405,5.6375,5.8619,6.0822,6.3011,6.435,5.5386,6.196,5.2099,6.5247
11,5.869,0.3335,4588,14,5.3192,5.431,5.6336,5.8653,6.087,6.3022,6.4346,5.5355,6.2025,5.2021,6.5359
12,5.8706,0.3393,4565,14,5.3093,5.4258,5.6283,5.8699,6.1002,6.3121,6.4379,5.5312,6.2099,5.1919,6.5492
13,5.8711,0.3463,4543,14,5.2964,5.411,5.6253,5.8717,6.1123,6.3309,6.451,5.5247,6.2174,5.1784,6.5637
14,5.8705,0.3539,4516,14,5.2894,5.4016,5.6157,5.8698,6.122,6.3446,6.4628,5.5165,6.2244,5.1626,6.5784
15,5.8685,0.3613,4488,14,5.277,5.3841,5.6038,5.8667,6.1238,6.3545,6.4772,5.5071,6.2298,5.1458,6.5912
16,5.865,0.3674,4454,14,5.2732,5.371,5.5878,5.8608,6.1263,6.3574,6.4812,5.4977,6.2324,5.1303,6.5997
17,5.8605,0.3723,4397,14,5.2725,5.3622,5.5674,5.8584,6.1267,6.3623,6.4829,5.4882,6.2329,5.1159,6.6052
18,5.8564,0.3755,4357,14,5.2735,5.3616,5.5546,5.8572,6.1257,6.3613,6.485,5.4809,6.2319,5.1054,6.6074
19,5.8524,0.3769,4302,14,5.2735,5.3603,5.5411,5.8548,6.1219,6.3635,6.4858,5.4755,6.2293,5.0986,6.6062
20,5.8489,0.3766,4258,13,5.2744,5.3604,5.5393,5.8546,6.1183,6.3594,6.4828,5.4723,6.2255,5.0957,6.6021
21,5.8471,0.3751,4235,13,5.2763,5.3598,5.5402,5.8458,6.1139,6.3522,6.4721,5.472,6.2222,5.0969,6.5973
22,5.8469,0.3721,4216,13,5.2784,5.3616,5.5417,5.8437,6.1092,6.3409,6.46,5.4749,6.219,5.1028,6.5911
23,5.8483,0.3683,4202,13,5.2921,5.3677,5.5433,5.8539,6.1105,6.3431,6.4583,5.48,6.2167,5.1117,6.585
24,5.8514,0.3643,4186,13,5.303,5.3796,5.548,5.8572,6.1112,6.3386,6.4505,5.4871,6.2157,5.1228,6.58
25,5.8547,0.3603,4166,13,5.3196,5.3873,5.5547,5.866,6.1127,6.3346,6.447,5.4944,6.215,5.1341,6.5753
26,5.8567,0.3549,4144,13,5.3267,5.389,5.5575,5.8771,6.1147,6.3291,6.4407,5.5017,6.2116,5.1468,6.5666
27,5.8576,0.3487,4108,13,5.3314,5.3948,5.5599,5.8743,6.1138,6.3231,6.4356,5.5089,6.2062,5.1603,6.5549
28,5.8572,0.3409,4060,13,5.3396,5.4055,5.5684,5.8719,6.1046,6.3056,6.4202,5.5163,6.1981,5.1754,6.539
29,5.8555,0.3317,4015,13,5.3486,5.4183,5.5748,5.8688,6.0946,6.2921,6.4023,5.5239,6.1872,5.1922,6.5189
30,5.8538,0.3218,3969,13,5.3614,5.433,5.5857,5.8662,6.0878,6.2782,6.3818,5.532,6.1757,5.2102,6.4975
31,5.853,0.3132,3934,12,5.3665,5.4432,5.596,5.8592,6.0789,6.2686,6.3697,5.5398,6.1662,5.2267,6.4793
32,5.8532,0.3059,3919,12,5.3759,5.4571,5.6059,5.8576,6.0707,6.2575,6.3628,5.5473,6.1591,5.2414,6.465
33,5.8534,0.3007,3911,12,5.3769,5.4689,5.616,5.8571,6.0701,6.26,6.3614,5.5528,6.1541,5.2521,6.4548
34,5.8542,0.297,3897,13,5.3787,5.4771,5.6263,5.8584,6.0697,6.2588,6.3569,5.5573,6.1512,5.2603,6.4482
35,5.8544,0.2945,3897,13,5.386,5.4841,5.6287,5.8524,6.0613,6.2609,6.359,5.5599,6.1489,5.2654,6.4434
36,5.8524,0.2931,3897,13,5.3948,5.487,5.6299,5.8502,6.0586,6.2539,6.351,5.5593,6.1455,5.2662,6.4385
37,5.8475,0.293,3897,13,5.3998,5.485,5.6222,5.847,6.055,6.2489,6.351,5.5546,6.1405,5.2616,6.4335
38,5.8408,0.2932,3894,13,5.3967,5.4798,5.6107,5.8317,6.0488,6.2435,6.3458,5.5476,6.134,5.2545,6.4272
39,5.8327,0.2938,3890,13,5.3935,5.473,5.5977,5.8088,6.0354,6.2448,6.3521,5.5389,6.1266,5.245,6.4204
40,5.8236,0.2936,3890,13,5.3914,5.4706,5.5933,5.7969,6.0231,6.2393,6.3511,5.5299,6.1172,5.2363,6.4108
41,5.8141,0.2925,3891,13,5.3944,5.4691,5.5893,5.7859,6.0136,6.2363,6.3466,5.5215,6.1066,5.229,6.3991
42,5.8049,0.2907,3899,12,5.3872,5.4646,5.5885,5.7762,6.0008,6.2032,6.3328,5.5142,6.0956,5.2236,6.3863
43,5.796,0.2891,3923,12,5.3761,5.4494,5.5838,5.7707,5.9865,6.1808,6.32,5.5069,6.0851,5.2177,6.3743
44,5.7869,0.2883,3947,12,5.358,5.435,5.5766,5.7613,5.9763,6.16,6.3052,5.4986,6.0752,5.2103,6.3635
45,5.7781,0.2886,3967,12,5.3491,5.419,5.5633,5.7514,5.9717,6.1543,6.2923,5.4894,6.0667,5.2008,6.3553
46,5.7694,0.2897,3991,12,5.3417,5.4107,5.552,5.7466,5.9666,6.1507,6.2868,5.4796,6.0591,5.1899,6.3489
47,5.7606,0.2904,4015,12,5.3362,5.4058,5.5416,5.7365,5.9612,6.1457,6.2807,5.4702,6.0511,5.1797,6.3415
48,5.7517,0.2905,4039,12,5.3257,5.3966,5.5312,5.7283,5.9542,6.141,6.2691,5.4612,6.0423,5.1706,6.3328
49,5.7423,0.2895,4062,12,5.3208,5.3899,5.5239,5.7193,5.9419,6.1315,6.2515,5.4527,6.0318,5.1632,6.3214
50,5.733,0.2877,4062,12,5.3137,5.3812,5.5118,5.7144,5.9314,6.1195,6.2411,5.4452,6.0207,5.1575,6.3084
51,5.7242,0.2849,4062,12,5.3052,5.3743,5.5057,5.7008,5.9213,6.1081,6.2241,5.4393,6.0091,5.1545,6.2939
52,5.7166,0.2819,4094,12,5.3004,5.3699,5.5006,5.6932,5.9091,6.0918,6.2107,5.4348,5.9985,5.1529,6.2803
53,5.7101,0.2786,4090,12,5.2997,5.3657,5.4986,5.6901,5.9024,6.0795,6.1866,5.4314,5.9887,5.1528,6.2673
54,5.7045,0.2754,4093,12,5.2915,5.3589,5.4972,5.6915,5.9012,6.0758,6.1704,5.429,5.9799,5.1536,6.2553
55,5.6997,0.2725,4088,12,5.2908,5.3594,5.4927,5.6878,5.8958,6.067,6.1619,5.4272,5.9721,5.1547,6.2446
56,5.696,0.27,4083,12,5.2793,5.3566,5.4909,5.6849,5.8888,6.0529,6.1474,5.4259,5.966,5.1559,6.2361
57,5.6929,0.2679,4088,12,5.2812,5.3558,5.4897,5.6809,5.8815,6.05,6.1446,5.4251,5.9608,5.1572,6.2287
58,5.6909,0.2657,4088,12,5.2874,5.3602,5.4916,5.6783,5.8767,6.0498,6.1451,5.4252,5.9566,5.1595,6.2223
59,5.6903,0.2639,4088,12,5.2946,5.3629,5.493,5.6732,5.8731,6.0488,6.1475,5.4264,5.9542,5.1625,6.2181
60,5.6905,0.2622,4094,12,5.2992,5.3669,5.4983,5.6716,5.8704,6.0422,6.1453,5.4283,5.9527,5.1661,6.215
61,5.6911,0.26,4094,12,5.3007,5.37,5.5002,5.6712,5.8685,6.0413,6.1451,5.4311,5.9511,5.1711,6.2111
62,5.6917,0.2571,4094,12,5.3026,5.3715,5.5002,5.6741,5.8694,6.0375,6.1428,5.4347,5.9488,5.1776,6.2059
63,5.6924,0.2536,4094,12,5.3049,5.3776,5.5031,5.6786,5.8699,6.0281,6.1357,5.4388,5.946,5.1852,6.1996
64,5.6935,0.2501,4094,12,5.3158,5.3827,5.5066,5.6793,5.8625,6.0191,6.12,5.4434,5.9437,5.1933,6.1938
65,5.6946,0.2462,4094,12,5.3249,5.3877,5.5139,5.6828,5.8592,6.0086,6.1074,5.4484,5.9408,5.2022,6.1869
66,5.6955,0.2426,4094,12,5.3317,5.3905,5.5161,5.69,5.8625,6.0062,6.1037,5.453,5.9381,5.2104,6.1806
67,5.6964,0.2391,4062,12,5.3387,5.3951,5.5194,5.69,5.859,5.9993,6.0927,5.4573,5.9355,5.2182,6.1746
68,5.6966,0.2362,4069,12,5.3388,5.3977,5.5221,5.6913,5.8555,5.9969,6.0901,5.4603,5.9328,5.2241,6.1691
69,5.6955,0.2333,4070,12,5.3492,5.4049,5.5246,5.6895,5.8498,5.9932,6.087,5.4621,5.9288,5.2288,6.1621
70,5.6937,0.2315,4075,12,5.3512,5.405,5.5202,5.6852,5.844,5.9889,6.0846,5.4622,5.9252,5.2308,6.1566
71,5.6908,0.23,4080,12,5.3536,5.4047,5.5169,5.6813,5.8384,5.9858,6.0815,5.4608,5.9207,5.2308,6.1507
72,5.687,0.229,4080,12,5.3514,5.4035,5.5134,5.6763,5.8369,5.9857,6.0844,5.458,5.9159,5.2291,6.1449
73,5.6827,0.2279,4080,12,5.3461,5.397,5.5063,5.6707,5.8329,5.98,6.0764,5.4548,5.9107,5.2268,6.1386
74,5.6781,0.2263,4080,12,5.3381,5.3959,5.5037,5.6656,5.8296,5.9731,6.0687,5.4518,5.9044,5.2255,6.1307
75,5.6728,0.2235,4080,12,5.3385,5.3963,5.4995,5.6604,5.8235,5.9686,6.0601,5.4493,5.8963,5.2259,6.1197
76,5.6672,0.2204,4080,12,5.3423,5.3983,5.4992,5.6579,5.8177,5.9591,6.0438,5.4468,5.8877,5.2264,6.1081
77,5.6612,0.2179,4080,12,5.3427,5.3979,5.4974,5.6485,5.8084,5.9479,6.0267,5.4432,5.8791,5.2253,6.097
78,5.6549,0.2161,4080,12,5.3334,5.3955,5.4956,5.6409,5.8001,5.9403,6.019,5.4388,5.871,5.2227,6.0871
79,5.6483,0.2153,4079,12,5.3254,5.3877,5.4876,5.631,5.7925,5.9336,6.0173,5.433,5.8635,5.2177,6.0788
80,5.6416,0.2161,4079,12,5.319,5.3814,5.4814,5.6251,5.7848,5.9313,6.0156,5.4255,5.8577,5.2094,6.0738
81,5.6353,0.2179,4075,12,5.3067,5.374,5.4761,5.6201,5.7771,5.9251,6.014,5.4174,5.8532,5.1996,6.071
82,5.6294,0.22,4075,12,5.2915,5.365,5.4687,5.6139,5.774,5.9235,6.011,5.4094,5.8494,5.1894,6.0695
83,5.6239,0.2224,4075,12,5.285,5.3556,5.462,5.6088,5.7698,5.9243,6.0106,5.4014,5.8463,5.179,6.0687
84,5.6183,0.2253,4075,12,5.2771,5.3439,5.4588,5.6053,5.7647,5.9242,6.007,5.393,5.8437,5.1676,6.069
85,5.6125,0.2277,4075,12,5.2661,5.3354,5.453,5.6018,5.7654,5.9188,6.0011,5.3848,5.8401,5.1571,6.0678
86,5.6065,0.2303,4075,12,5.2547,5.3249,5.4473,5.5953,5.7609,5.9166,5.9997,5.3762,5.8367,5.1459,6.067
87,5.6003,0.2331,4075,12,5.2395,5.3173,5.4389,5.5902,5.756,5.9091,5.9862,5.3673,5.8334,5.1342,6.0664
88,5.5937,0.2357,4075,12,5.2282,5.3092,5.4331,5.583,5.7547,5.9075,5.9846,5.358,5.8294,5.1223,6.0651
89,5.5867,0.2382,4073,12,5.2113,5.297,5.4237,5.5782,5.7504,5.9067,5.9846,5.3485,5.8249,5.1103,6.0631
90,5.5803,0.241,4053,12,5.2048,5.2898,5.414,5.5703,5.7442,5.899,5.9818,5.3393,5.8213,5.0984,6.0622
91,5.5744,0.2432,4053,12,5.1926,5.2824,5.4032,5.5618,5.7389,5.8928,5.9789,5.3312,5.8175,5.0881,6.0607
92,5.5687,0.2446,4045,12,5.1811,5.2757,5.3984,5.5564,5.7366,5.8886,5.9778,5.3241,5.8133,5.0795,6.0579
93,5.563,0.2454,4045,12,5.1758,5.2699,5.3917,5.5516,5.7333,5.8863,5.9778,5.3176,5.8083,5.0722,6.0537
94,5.5567,0.2452,4046,12,5.1701,5.2577,5.3878,5.5502,5.7299,5.8784,5.968,5.3115,5.8019,5.0663,6.047
95,5.5498,0.2442,4046,12,5.1648,5.2498,5.3845,5.5411,5.7247,5.8679,5.9582,5.3056,5.794,5.0614,6.0383
96,5.5419,0.2427,4050,12,5.1559,5.2425,5.3741,5.5309,5.7102,5.8557,5.9432,5.2992,5.7846,5.0565,6.0273
97,5.5329,0.2409,4042,12,5.1549,5.2373,5.3678,5.5243,5.6983,5.8408,5.9331,5.2919,5.7738,5.051,6.0147
98,5.5235,0.2392,4018,12,5.1516,5.2314,5.3594,5.5122,5.6855,5.8317,5.9292,5.2843,5.7627,5.0451,6.0019
99,5.5151,0.2374,3994,12,5.1432,5.2237,5.3512,5.5013,5.6726,5.8205,5.921,5.2777,5.7525,5.0403,5.9899
100,5.5076,0.236,3970,12,5.1431,5.2125,5.3406,5.4918,5.6608,5.8091,5.9149,5.2716,5.7436,5.0357,5.9796
101,5.5009,0.2345,3966,12,5.1432,5.2115,5.3337,5.4849,5.6554,5.7975,5.903,5.2664,5.7354,5.0319,5.9698
102,5.4951,0.2328,3966,12,5.1432,5.2112,5.328,5.4818,5.6515,5.7975,5.9024,5.2623,5.7279,5.0294,5.9607
103,5.4902,0.2316,3966,12,5.1432,5.2096,5.3237,5.4745,5.6447,5.7918,5.8921,5.2587,5.7218,5.0271,5.9533
104,5.4856,0.2309,3966,12,5.139,5.2059,5.3201,5.4718,5.6408,5.7855,5.8781,5.2548,5.7165,5.0239,5.9474
105,5.4803,0.2302,3986,12,5.133,5.1991,5.3141,5.4692,5.6389,5.7802,5.8698,5.25,5.7105,5.0198,5.9407
106,5.4744,0.2297,3986,12,5.1301,5.1924,5.3068,5.4638,5.6357,5.7776,5.8668,5.2447,5.7041,5.0151,5.9338
107,5.4686,0.2298,3994,12,5.1173,5.1864,5.2983,5.456,5.6312,5.7716,5.8576,5.2387,5.6984,5.0089,5.9282
108,5.4628,0.2302,3993,12,5.1088,5.1791,5.2915,5.4464,5.6253,5.7676,5.8524,5.2325,5.693,5.0023,5.9233
109,5.4576,0.2307,3993,12,5.0987,5.1666,5.2881,5.4416,5.6206,5.7645,5.845,5.2269,5.6883,4.9962,5.9191
110,5.4538,0.2314,3993,12,5.0914,5.1604,5.2831,5.437,5.6196,5.7608,5.8469,5.2225,5.6852,4.9911,5.9165
111,5.4517,0.2324,3993,12,5.0862,5.1569,5.2796,5.4352,5.6149,5.7646,5.8481,5.2193,5.6841,4.9869,5.9166
112,5.4508,0.2332,4001,12,5.0767,5.1518,5.2797,5.4376,5.6128,5.7608,5.8477,5.2176,5.6841,4.9843,5.9173
113,5.4504,0.2338,4025,12,5.0695,5.1456,5.2814,5.4435,5.6155,5.7601,5.8412,5.2166,5.6842,4.9828,5.918
114,5.4493,0.2343,4049,12,5.0672,5.1421,5.2835,5.4492,5.6149,5.7582,5.8397,5.215,5.6836,4.9807,5.9179
115,5.447,0.2342,4073,12,5.0556,5.1362,5.2827,5.4531,5.6117,5.7539,5.835,5.2128,5.6813,4.9785,5.9155
116,5.4433,0.234,4073,12,5.0418,5.1219,5.2803,5.4549,5.6058,5.7405,5.8251,5.2093,5.6773,4.9753,5.9113
117,5.4382,0.2337,4072,12,5.0371,5.11,5.2774,5.4523,5.5989,5.7283,5.8152,5.2045,5.6719,4.9707,5.9056
118,5.4322,0.233,4072,12,5.0288,5.1019,5.2723,5.4493,5.5932,5.7188,5.8014,5.1992,5.6652,4.9662,5.8982
119,5.4259,0.232,4074,12,5.0192,5.0971,5.2662,5.4452,5.5852,5.7105,5.7956,5.1939,5.6579,4.9619,5.8899
120,5.4199,0.2308,4074,12,5.0155,5.0946,5.261,5.4408,5.5775,5.6997,5.7869,5.189,5.6507,4.9582,5.8816
121,5.4143,0.2289,4074,12,5.011,5.0873,5.2567,5.4353,5.5713,5.6853,5.7747,5.1854,5.6433,4.9564,5.8722
122,5.4091,0.2258,4073,12,5.0095,5.0884,5.2547,5.4286,5.5663,5.6728,5.7569,5.1833,5.6349,4.9575,5.8606
