time,deep,pinnacle,axis,hydrates,mideast,node,upperslope
2009-11-01,,,,,,,0.3019
2009-12-01,,,,,,,0.3204
2010-01-01,,,,,,,1.5137
2010-02-01,,,,,,,0.7069
2010-03-01,,,,,,,0.562
2010-04-01,,,,,0.2897,,0.501
2010-05-01,,,-0.0554,,-0.8534,,0.0031
2010-06-01,,,-0.153,,-1.0572,,-0.2982
2010-07-01,,,0.1176,,-0.9762,,-1.4222
2010-08-01,,,0.312,,-0.9073,,-1.3728
2010-09-01,,,0.7729,,-0.3767,,-1.1092
2010-10-01,,,0.6827,,-0.3705,,-0.6281
2010-11-01,,,0.7848,,-0.5243,,-0.9096
2010-12-01,,,1.2496,,0.3575,,-0.6684
2011-01-01,,,,,-0.3657,,-0.9197
2011-02-01,,-0.5465,1.4038,,0.3076,,
2011-03-01,,-0.3589,1.1612,,0.187,,
2011-04-01,,-0.841,1.3695,,0.3253,,
2011-05-01,,-1.1899,1.4577,,0.4095,,
2011-06-01,,-0.8106,1.043,,0.1413,,
2011-07-01,,-0.7964,1.5324,,0.7146,,
2011-08-01,,-0.9723,1.1684,,0.3546,,
2011-09-01,,-1.0809,1.1094,,0.315,,
2011-10-01,,,0.481,,-0.3817,,
2011-11-01,,-0.8071,0.9763,,0.1153,,
2011-12-01,,-0.3915,0.2522,,-0.6685,,
2012-01-01,,-1.1624,0.6299,,-0.331,,
2012-02-01,,-0.9109,0.7872,,-0.2151,,
2012-03-01,,-1.1767,1.1988,,0.3059,,
2012-04-01,,,1.1337,,0.407,,
2012-05-01,,,0.8374,,0.0633,,
2012-06-01,,,1.2267,,0.4825,,0.167
2012-07-01,,,1.0673,,0.2713,,0.0449
2012-08-01,,,1.349,,0.5004,,-0.3461
2012-09-01,,,1.2089,,0.4288,,-0.2377
2012-10-01,,-0.6551,1.2518,,0.5432,,0.2884
2012-11-01,,-0.0396,1.2252,,0.3711,,0.1862
2012-12-01,,0.3502,0.9857,,0.1904,,-0.0042
2013-01-01,,-0.4258,0.9873,,-0.0587,,-1.1358
2013-02-01,,-0.1692,0.5547,,-0.0784,,-0.8505
2013-03-01,,-0.902,0.7399,,0.0666,,-0.7057
2013-04-01,,-1.0199,0.8138,,-0.0318,,-0.4863
2013-05-01,,-0.5895,1.1873,0.0174,-0.1577,,-0.9835
2013-06-01,,0.1581,,-0.1318,-0.0224,,-0.7801
