STN_ID,DATE,Q_FLAG,LATITUDE,LONGITUDE,DEPTH,SeaWaterTemperature
C46206,11/22/1988 22:34,1,48.83,126,73,10.9
C46206,11/23/1988 00:33,1,48.83,126,73,10.4
C46206,11/23/1988 01:34,1,48.83,126,73,10.5
C46206,11/23/1988 02:34,1,48.83,126,73,10.5
C46206,11/23/1988 04:34,1,48.83,126,73,10.5
C46206,11/23/1988 05:34,1,48.83,126,73,10.5
C46206,11/23/1988 06:34,1,48.83,126,73,10.5
C46206,11/23/1988 07:34,1,48.83,126,73,10.4
C46206,11/23/1988 08:34,1,48.83,126,73,10.3
C46206,11/23/1988 09:34,1,48.83,126,73,10.3
C46206,11/23/1988 10:34,1,48.83,126,73,10.3
C46206,11/23/1988 11:34,1,48.83,126,73,10.2
C46206,11/23/1988 12:34,1,48.83,126,73,10.2
C46206,11/23/1988 13:34,1,48.83,126,73,10.2
C46206,11/23/1988 14:34,1,48.83,126,73,10.2
C46206,11/23/1988 15:34,1,48.83,126,73,10.2
C46206,11/23/1988 16:34,1,48.83,126,73,10.2
C46206,11/23/1988 17:34,1,48.83,126,73,10.2
C46206,11/23/1988 18:33,1,48.83,126,73,10.2
C46206,11/23/1988 19:33,1,48.83,126,73,10.4
C46206,11/23/1988 20:34,1,48.83,126,73,10.6
C46206,11/23/1988 21:34,1,48.83,126,73,10.5
C46206,11/23/1988 22:33,1,48.83,126,73,10.5
C46206,11/23/1988 23:33,1,48.83,126,73,10.5
C46206,11/24/1988 00:34,1,48.83,126,73,10.4
C46206,11/24/1988 01:33,1,48.83,126,73,10.3
C46206,11/24/1988 02:34,1,48.83,126,73,10.3
C46206,11/24/1988 03:34,1,48.83,126,73,10.3
C46206,11/24/1988 04:34,1,48.83,126,73,10.2
C46206,11/24/1988 05:33,1,48.83,126,73,10.2
C46206,11/24/1988 06:34,1,48.83,126,73,10.2
C46206,11/24/1988 07:33,1,48.83,126,73,10.2
C46206,11/24/1988 08:34,1,48.83,126,73,10.2
C46206,11/24/1988 09:34,1,48.83,126,73,10.3
C46206,11/24/1988 13:34,1,48.83,126,73,10.2
C46206,11/24/1988 14:34,1,48.83,126,73,10.2
C46206,11/24/1988 15:34,1,48.83,126,73,10.2
C46206,11/24/1988 16:34,1,48.83,126,73,10.3
C46206,11/24/1988 17:34,1,48.83,126,73,10.3
C46206,11/24/1988 18:33,1,48.83,126,73,10.3
C46206,11/24/1988 19:34,1,48.83,126,73,10.3
C46206,11/24/1988 20:34,1,48.83,126,73,10.3
C46206,11/24/1988 21:34,1,48.83,126,73,10.3
C46206,11/24/1988 22:34,1,48.83,126,73,10.4
C46206,11/24/1988 23:34,1,48.83,126,73,10.4
C46206,11/25/1988 00:34,1,48.83,126,73,10.5
C46206,11/25/1988 01:34,1,48.83,126,73,10.5
C46206,11/25/1988 02:32,1,48.83,126,73,10.5
C46206,11/25/1988 03:34,1,48.83,126,73,10.6
C46206,11/25/1988 04:34,1,48.83,126,73,10.5
C46206,11/25/1988 05:34,1,48.83,126,73,10.4
C46206,11/25/1988 06:34,1,48.83,126,73,10.4
C46206,11/25/1988 07:34,1,48.83,126,73,10.4
C46206,11/25/1988 08:33,1,48.83,126,73,10.5
C46206,11/25/1988 09:33,1,48.83,126,73,10.4
C46206,11/25/1988 11:34,1,48.83,126,73,10.4
C46206,11/25/1988 12:34,1,48.83,126,73,10.4
C46206,11/25/1988 13:34,1,48.83,126,73,10.4
C46206,11/25/1988 14:34,1,48.83,126,73,10.4
C46206,11/25/1988 15:34,1,48.83,126,73,10.5
C46206,11/25/1988 16:33,1,48.83,126,73,10.5
C46206,11/25/1988 17:34,1,48.83,126,73,10.5
C46206,11/25/1988 18:34,1,48.83,126,73,10.6
C46206,11/25/1988 19:34,1,48.83,126,73,10.3
C46206,11/25/1988 20:34,1,48.83,126,73,10.3
C46206,11/25/1988 21:32,1,48.83,126,73,10.3
C46206,11/25/1988 22:34,1,48.83,126,73,10.2
C46206,11/25/1988 23:34,1,48.83,126,73,10.2
C46206,11/26/1988 00:34,1,48.83,126,73,10.4
C46206,11/26/1988 01:34,1,48.83,126,73,10.4
C46206,11/26/1988 02:34,1,48.83,126,73,10.4
C46206,11/26/1988 03:34,1,48.83,126,73,10.5
C46206,11/26/1988 04:34,1,48.83,126,73,10.4
C46206,11/26/1988 05:34,1,48.83,126,73,10.1
C46206,11/26/1988 06:34,1,48.83,126,73,9.7
C46206,11/26/1988 07:34,1,48.83,126,73,9.9
C46206,11/26/1988 08:33,1,48.83,126,73,9.9
C46206,11/26/1988 09:34,1,48.83,126,73,9.9
C46206,11/26/1988 12:34,1,48.83,126,73,9.8
C46206,11/26/1988 13:34,1,48.83,126,73,9.7
C46206,11/26/1988 14:34,1,48.83,126,73,9.6
C46206,11/26/1988 15:34,1,48.83,126,73,9.6
C46206,11/26/1988 16:34,1,48.83,126,73,9.5
C46206,11/26/1988 17:34,1,48.83,126,73,9.5
C46206,11/26/1988 18:34,1,48.83,126,73,9.8
